,Taxonomy,Collection_Date,Cumulative_Count_x,Count_x,Cumulative_Count_y,Count_y
20185,Rhodococcus phage REQ3,2008.0,120.0,120.0,2,2
20186,Bat astrovirus Ms/sy18/CHN/2008,2008.0,1.0,1.0,1,1
20187,Caliciviridae bovine/DijonA421/08/FR,2008.0,1.0,1.0,1,1
20188,Bat astrovirus Ms/sy16/CHN/2008,2008.0,1.0,1.0,1,1
20189,Bat astrovirus Ms/sy14/CHN/2008,2008.0,1.0,1.0,1,1
20190,Bat astrovirus Ms/sy12/CHN/2008,2008.0,1.0,1.0,1,1
20191,Caliciviridae bovine/DijonA423/08/FR,2008.0,1.0,1.0,1,1
20192,Caliciviridae bovine/DijonA431-2/08/FR,2008.0,1.0,1.0,1,1
20193,Bat astrovirus Ms/sy20/CHN/2008,2008.0,1.0,1.0,1,1
20194,Great Island virus,2008.0,130.0,10.0,123,10
20195,Calicivirus isolate Geel 2008/Belgium,2008.0,3.0,3.0,1,1
20196,Hunnivirus,2008.0,14.0,14.0,2,2
20197,Nanovirus-like particle,2008.0,1.0,1.0,1,1
20198,Cotton leaf curl Alabad virus,2008.0,20.0,6.0,3,1
20199,Tick-borne encephalitis virus,2008.0,1070.0,119.0,1078,124
20200,Alphainfluenzavirus,2008.0,201069.0,32079.0,151085,24416
20201,Hosta virus X,2008.0,9.0,2.0,5,2
20202,Soil-borne wheat mosaic virus,2008.0,2.0,2.0,2,2
20203,Bean common mosaic virus,2008.0,36.0,13.0,36,13
20204,Avian rotavirus turkey/Minnesota/B1009/2008,2008.0,1.0,1.0,1,1
20205,Soil-borne cereal mosaic virus,2008.0,1.0,1.0,1,1
20206,Tasmanian aquabirnavirus,2008.0,21.0,6.0,14,4
20207,Avian rotavirus turkey/Minnesota/B1004/2008,2008.0,1.0,1.0,1,1
20208,Avian rotavirus turkey/Minnesota/B1003/2008,2008.0,1.0,1.0,1,1
20209,Narcissus degeneration virus,2008.0,1.0,1.0,1,1
20210,Emaravirus,2008.0,86.0,42.0,87,42
20211,Drosophila obscura sigmavirus,2008.0,219.0,207.0,209,207
20212,Human rhinovirus sp.,2008.0,1253.0,422.0,1713,496
20213,Avian rotavirus turkey/Minnesota/B1006/2008,2008.0,1.0,1.0,1,1
20214,Porcine astrovirus 3,2008.0,4.0,4.0,2,2
20215,Tomato leaf curl Joydebpur betasatellite,2008.0,5.0,2.0,5,2
20216,Porcine astrovirus 2,2008.0,2.0,2.0,2,2
20217,Bat astrovirus Mm/NX29/Hainan,2008.0,1.0,1.0,1,1
20218,Bat astrovirus Mm/NX28/Hainan,2008.0,1.0,1.0,1,1
20219,African swine fever virus,2008.0,13451.0,2802.0,1277,198
20220,Drosophila tristis sigmavirus,2008.0,1.0,1.0,1,1
20221,Drosophila subobscura rhabdovirus,2008.0,1.0,1.0,1,1
20222,Bat astrovirus Mm/NX25-2/Hainan,2008.0,1.0,1.0,1,1
20223,Sunn hemp leaf distortion virus,2008.0,16.0,16.0,4,4
20224,Ungulate bocaparvovirus 2,2008.0,36.0,24.0,19,16
20225,California encephalitis orthobunyavirus,2008.0,218.0,3.0,173,3
20226,Human smacovirus 1,2008.0,16.0,16.0,8,8
20227,Pseudomonas phage Delta,2008.0,69.0,69.0,1,1
20228,Juquitiba virus,2008.0,10.0,5.0,10,5
20229,Dicistroviridae,2008.0,280.0,52.0,285,50
20230,Avisivirus,2008.0,24.0,24.0,4,4
20231,Piscine novirhabdovirus,2008.0,1426.0,151.0,886,105
20232,Mycobacterium phage Ogopogo,2008.0,220.0,220.0,2,2
20233,Bat astrovirus Mm/NX25-1/Hainan,2008.0,1.0,1.0,1,1
20234,Human rhinovirus W32,2008.0,0.0,0.0,1,1
20235,Rotavirus turkey/MN/D-047428/2008,2008.0,1.0,1.0,1,1
20236,short-tailed pygmy chameleon adenovirus 1,2008.0,11.0,11.0,5,5
20237,Bat astrovirus Sk/LZ35/Hainan,2008.0,1.0,1.0,1,1
20238,Bat astrovirus Sk/LZ32/Hainan,2008.0,1.0,1.0,1,1
20239,Bat astrovirus Sk/LZ14/Hainan,2008.0,1.0,1.0,1,1
20240,Rice black streaked dwarf virus,2008.0,250.0,241.0,242,235
20241,Dyolambdapapillomavirus,2008.0,14.0,14.0,2,2
20242,Dyolambdapapillomavirus 1,2008.0,14.0,14.0,2,2
20243,Mycobacterium virus Bron,2008.0,246.0,246.0,2,2
20244,Grapevine virus 99B/SdP2/South Africa/2008,2008.0,1.0,1.0,1,1
20245,Rana catesbeiana virus,2008.0,213.0,5.0,8,5
20246,Dyonupapillomavirus,2008.0,14.0,14.0,2,2
20247,Bat astrovirus Sk/LZ12/Hainan,2008.0,1.0,1.0,1,1
20248,Dyonupapillomavirus 1,2008.0,14.0,14.0,2,2
20249,Coronavirus P.pipi/VM312/2008/NLD,2008.0,1.0,1.0,1,1
20250,Culex pipiens rhabdovirus 2,2008.0,1.0,1.0,1,1
20251,Coronavirus P.pipi/VM314/2008/NLD,2008.0,1.0,1.0,1,1
20252,Polydnaviridae,2008.0,95.0,91.0,146,66
20253,Mycobacterium virus Brujita,2008.0,224.0,76.0,3,1
20254,Bat astrovirus Sk/LZ36/Hainan,2008.0,1.0,1.0,1,1
20255,Duck atadenovirus A,2008.0,9.0,1.0,8,1
20256,Mamastrovirus 3,2008.0,37.0,2.0,65,35
20257,Synechococcus phage KBS-M-1A,2008.0,213.0,213.0,1,1
20258,Bat picornavirus 1,2008.0,17.0,17.0,3,3
20259,Iflaviridae,2008.0,706.0,147.0,717,150
20260,unidentified adenovirus,2008.0,109.0,6.0,111,6
20261,Fig mosaic emaravirus,2008.0,18.0,18.0,18,18
20262,Mycobacterium virus Bxz1,2008.0,1350.0,1112.0,6,5
20263,Bat picornavirus 3,2008.0,15.0,15.0,3,3
20264,Alphaarterivirus,2008.0,777.0,88.0,202,20
20265,Zaire ebolavirus,2008.0,1391.0,9.0,177,1
20266,Betapapillomavirus 3,2008.0,8.0,8.0,2,2
20267,Bottlenose dolphin astrovirus 4,2008.0,1.0,1.0,1,1
20268,Bat astrovirus Sk/YY17-2/Hainan,2008.0,1.0,1.0,1,1
20269,Gossypium mustelinum symptomless alphasatellite,2008.0,2.0,1.0,2,1
20270,Bat astrovirus Sk/YY17-1/Hainan,2008.0,1.0,1.0,1,1
20271,Bat astrovirus Sk/YY15/Hainan,2008.0,1.0,1.0,1,1
20272,Dyoiotapapillomavirus 1,2008.0,29.0,5.0,15,3
20273,Striped jack nervous necrosis virus,2008.0,104.0,14.0,101,14
20274,Grapevine virus A,2008.0,20.0,12.0,18,14
20275,Fig mild mottle-associated virus,2008.0,7.0,7.0,1,1
20276,Dahlia common mosaic virus,2008.0,6.0,6.0,1,1
20277,Grapevine virus B,2008.0,28.0,23.0,15,14
20278,Rice ragged stunt virus,2008.0,36.0,6.0,36,6
20279,Avipoxvirus Spilornis cheela/Taiwan/2008,2008.0,1.0,1.0,1,1
20280,Betapartitivirus,2008.0,29.0,8.0,28,7
20281,Grapevine leafroll-associated virus 4,2008.0,4.0,4.0,4,4
20282,Rice stripe tenuivirus,2008.0,193.0,59.0,142,62
20283,Mycobacterium virus Angelica,2008.0,188.0,188.0,2,2
20284,Soybean leaf-associated ssRNA virus 1,2008.0,2.0,2.0,1,1
20285,Lygus lineolaris virus 1,2008.0,2.0,2.0,2,2
20286,Apple mosaic virus,2008.0,11.0,9.0,21,14
20287,Grapevine virus E,2008.0,6.0,1.0,2,1
20288,Pseudogymnoascus destructans partitivirus,2008.0,2.0,2.0,2,2
20289,Mannheimia phage vB_MhS_3927AP1,2008.0,83.0,83.0,1,1
20290,Apscaviroid,2008.0,0.0,0.0,196,34
20291,Dyoupsilonpapillomavirus 1,2008.0,1.0,1.0,1,1
20292,Dyoupsilonpapillomavirus,2008.0,1.0,1.0,1,1
20293,Soybean leaf-associated ssRNA virus 2,2008.0,2.0,2.0,1,1
20294,Aichivirus A,2008.0,348.0,53.0,357,52
20295,Mardivirus,2008.0,1466.0,31.0,149,34
20296,Lagovirus,2008.0,562.0,48.0,474,42
20297,Rice grassy stunt tenuivirus,2008.0,78.0,10.0,46,10
20298,Lymantria dispar multiple nucleopolyhedrovirus,2008.0,1130.0,154.0,19,1
20299,Culex pipiens rhabdovirus 1,2008.0,1.0,1.0,1,1
20300,Tetraparvovirus,2008.0,230.0,52.0,128,34
20301,Synechococcus T7-like virus oc24d,2008.0,1.0,1.0,1,1
20302,Mannheimia virus 1127AP1,2008.0,104.0,104.0,2,2
20303,Avipoxvirus isolate Wisconsin,2008.0,28.0,2.0,28,2
20304,Idaeovirus,2008.0,5.0,4.0,4,3
20305,Mannheimia phage vB_MhS_587AP2,2008.0,154.0,154.0,2,2
20306,Avipoxvirus large-billed crow/Asahikawa/Hokkaido/JPN/2008,2008.0,1.0,1.0,1,1
20307,Diporeia sp. associated circular virus,2008.0,16.0,16.0,8,8
20308,Soybean leaf-associated ssRNA virus 3,2008.0,1.0,1.0,1,1
20309,Synechococcus T7-like virus oc3d,2008.0,1.0,1.0,1,1
20310,Polygonum ringspot orthotospovirus,2008.0,20.0,10.0,12,6
20311,Chilli leaf curl Dhanbad alphasatellite,2008.0,1.0,1.0,1,1
20312,Dyoiotapapillomavirus,2008.0,29.0,5.0,15,3
20313,Suid betaherpesvirus 2,2008.0,12.0,4.0,12,5
20314,Rhodococcus virus RER2,2008.0,132.0,132.0,2,2
20315,Gorilla gorilla polyomavirus 1,2008.0,10.0,10.0,2,2
20316,Mycobacterium virus Gladiator,2008.0,192.0,192.0,2,2
20317,Botrytis porri botybirnavirus 1,2008.0,4.0,4.0,4,4
20318,Tetnovirus 1,2008.0,3.0,1.0,2,1
20319,Bottlenose dolphin astrovirus 3,2008.0,4.0,1.0,2,1
20320,Ramu stunt virus,2008.0,9.0,1.0,9,1
20321,Pleurotus ostreatus virus 1,2008.0,4.0,4.0,3,3
20322,Pleurotus ostreatus spherical virus,2008.0,1.0,1.0,1,1
20323,Usutu virus,2008.0,40.0,7.0,40,7
20324,Myoviridae,2008.0,51030.0,10200.0,1760,515
20325,Mamastrovirus 4,2008.0,4.0,4.0,2,2
20326,Umatilla virus,2008.0,27.0,7.0,27,7
20327,Pleolipoviridae,2008.0,163.0,56.0,11,4
20328,Dipteran protoambidensovirus 1,2008.0,47.0,4.0,42,4
20329,Chilli ringspot virus,2008.0,3.0,1.0,3,1
20330,Pseudocowpox virus,2008.0,185.0,3.0,30,3
20331,Plum pox virus,2008.0,187.0,30.0,183,28
20332,Primate astrovirus,2008.0,0.0,0.0,59,26
20333,Tymoviridae,2008.0,289.0,36.0,223,26
20334,Grapevine leafroll-associated virus 5,2008.0,17.0,2.0,15,2
20335,Duck circovirus,2008.0,38.0,26.0,19,13
20336,Homalodisca vitripennis reovirus,2008.0,166.0,75.0,138,54
20337,Synechococcus T7-like virus oc30,2008.0,1.0,1.0,1,1
20338,Synechococcus T7-like virus oc24e,2008.0,1.0,1.0,1,1
20339,Kyuri green mottle mosaic virus,2008.0,29.0,9.0,11,3
20340,Mycobacterium virus Ibhubesi,2008.0,206.0,206.0,2,2
20341,Apple stem grooving virus,2008.0,72.0,16.0,59,16
20342,Gosmusatellite,2008.0,11.0,8.0,11,8
20343,Avipoxvirus OL1,2008.0,1.0,1.0,1,1
20344,Marafivirus,2008.0,146.0,24.0,140,18
20345,Grapevine leafroll-associated virus 7,2008.0,25.0,2.0,18,2
20346,Hippeastrum mosaic virus,2008.0,4.0,1.0,4,1
20347,Iflavirus sp.,2008.0,0.0,0.0,4,4
20348,Fijivirus,2008.0,340.0,272.0,315,258
20349,Ilarvirus,2008.0,214.0,45.0,180,42
20350,Bat coronavirus 1,2008.0,1.0,1.0,1,1
20351,Plecotus auritus rhabdovirus 1,2008.0,1.0,1.0,1,1
20352,Apricot latent virus,2008.0,8.0,8.0,8,8
20353,Iflavirus,2008.0,687.0,128.0,700,133
20354,Tula orthohantavirus,2008.0,87.0,24.0,87,24
20355,Apple scar skin viroid,2008.0,0.0,0.0,11,9
20356,Cardiovirus A,2008.0,23.0,2.0,25,2
20357,Sulfitobacter phage NYA-2014a,2008.0,142.0,142.0,2,2
20358,Sulfitobacter phage pCB2047-A,2008.0,144.0,144.0,2,2
20359,Cytorhabdovirus,2008.0,58.0,4.0,47,4
20360,Wheat streak mosaic virus,2008.0,66.0,23.0,66,23
20361,Bat paramyxovirus Eid.hel/GH45/2008,2008.0,1.0,1.0,1,1
20362,Chilli veinal mottle virus,2008.0,28.0,9.0,28,9
20363,Sulfitobacter phage pCB2047-C,2008.0,146.0,146.0,2,2
20364,Sulfitobacter virus phiCB2047B,2008.0,150.0,150.0,2,2
20365,Rhodococcus virus RGL3,2008.0,132.0,132.0,2,2
20366,Bat parvovirus TM-2p,2008.0,0.0,0.0,1,1
20367,Mycobacterium virus CrimD,2008.0,190.0,190.0,2,2
20368,Chili leaf curl betasatellite,2008.0,20.0,2.0,21,2
20369,Honeysuckle yellow vein virus,2008.0,66.0,6.0,11,1
20370,Lymphocystivirus,2008.0,382.0,5.0,18,5
20371,Mannheimia phage vB_MhS_1152AP2,2008.0,158.0,158.0,2,2
20372,Marburgvirus,2008.0,509.0,32.0,113,8
20373,Grapevine rupestris stem pitting-associated virus,2008.0,300.0,4.0,300,4
20374,Marburg marburgvirus,2008.0,509.0,32.0,113,8
20375,Flanders hapavirus,2008.0,165.0,14.0,87,14
20376,Lymphocryptovirus,2008.0,2954.0,1119.0,1133,429
20377,Lagos bat lyssavirus,2008.0,76.0,4.0,64,4
20378,Aeromonas virus pIS4A,2008.0,156.0,156.0,2,2
20379,Curvulaviridae,2008.0,43.0,8.0,41,8
20380,Fig mosaic virus Eg/2008,2008.0,0.0,0.0,1,1
20381,Mycobacterium virus Ericb,2008.0,194.0,194.0,2,2
20382,Fig mosaic virus Alexandria/2008,2008.0,0.0,0.0,1,1
20383,Aichivirus C,2008.0,75.0,29.0,75,29
20384,Terapon theraps nervous necrosis virus,2008.0,1.0,1.0,1,1
20385,Ungulate protoparvovirus 1,2008.0,112.0,15.0,38,10
20386,Iris severe mosaic virus,2008.0,3.0,1.0,3,1
20387,Mannheimia virus PHL101,2008.0,103.0,52.0,2,1
20388,Dunaliella viridis virus SI2,2008.0,102.0,102.0,2,2
20389,Corynebacterium phage LGCM-VI,2008.0,48.0,48.0,1,1
20390,Myoviridae environmental samples,2008.0,936.0,392.0,938,392
20391,Rice tungro bacilliform virus,2008.0,13.0,4.0,4,1
20392,Avipoxvirus isolate Massachusetts,2008.0,2.0,2.0,2,2
20393,Fig leaf mottle-associated virus 2,2008.0,6.0,6.0,1,1
20394,Lakamha virus,2008.0,3.0,3.0,3,3
20395,Radish leaf curl betasatellite,2008.0,4.0,4.0,4,4
20396,Synechococcus T7-like virus S-TIP33,2008.0,2.0,2.0,2,2
20397,Avipoxvirus sp.,2008.0,12.0,7.0,12,7
20398,Bat astrovirus Sk/LZ01/Hainan,2008.0,1.0,1.0,1,1
20399,Bat astrovirus Sk/JX18/Hainan,2008.0,1.0,1.0,1,1
20400,Eastern equine encephalitis virus,2008.0,823.0,55.0,580,29
20401,Bat mastadenovirus,2008.0,83.0,19.0,82,20
20402,Radish leaf curl alphasatellite,2008.0,1.0,1.0,1,1
20403,Rattus norvegicus polyomavirus 1,2008.0,56.0,32.0,7,4
20404,Hypovirus,2008.0,265.0,77.0,251,77
20405,Synechococcus T7-like virus S-TIP32,2008.0,2.0,2.0,2,2
20406,Synechococcus T7-like virus S-TIP31,2008.0,2.0,2.0,2,2
20407,Alphacoronavirus TT-2016a,2008.0,2.0,2.0,2,2
20408,Avihepatovirus A,2008.0,92.0,15.0,92,15
20409,NL63-related bat coronavirus strain BtKYNL63-9b,2008.0,8.0,8.0,1,1
20410,Luteovirus,2008.0,866.0,152.0,472,99
20411,Vesivirus,2008.0,447.0,13.0,395,9
20412,Cardamom bushy dwarf virus,2008.0,13.0,8.0,22,11
20413,Hytrosaviridae,2008.0,65.0,40.0,65,40
20414,Fig badnavirus 1,2008.0,6.0,6.0,2,2
20415,Cosavirus,2008.0,102.0,3.0,192,16
20416,Rountreeviridae,2008.0,41.0,1.0,3,1
20417,Avipoxvirus,2008.0,1321.0,575.0,316,56
20418,Tomato leaf curl Hainan virus,2008.0,18.0,18.0,3,3
20419,Soybean scleroulivirus 1,2008.0,2.0,2.0,2,2
20420,Tomato leaf curl Hsinchu virus,2008.0,25.0,18.0,7,5
20421,Thetatorquevirus,2008.0,3.0,3.0,1,1
20422,Prasinovirus,2008.0,4551.0,2340.0,177,100
20423,Mycobacterium virus Kssjeb,2008.0,184.0,184.0,2,2
20424,Betanodavirus sp.,2008.0,1.0,1.0,1,1
20425,Betanodavirus siakap/UPM08-1MSP/2008/MYS,2008.0,1.0,1.0,1,1
20426,Salmonella phage vB_SosS_Oslo,2008.0,158.0,158.0,2,2
20427,Betapolyomavirus,2008.0,994.0,282.0,677,214
20428,Myxoma virus,2008.0,7706.0,1022.0,314,9
20429,Soybean scleroulivirus 2,2008.0,2.0,2.0,2,2
20430,Rift Valley fever phlebovirus,2008.0,961.0,234.0,779,212
20431,African horse sickness virus,2008.0,1704.0,61.0,1624,60
20432,Soybean chlorotic blotch virus,2008.0,27.0,9.0,6,2
20433,Bat astrovirus Sk/CZ15/Hainan,2008.0,1.0,1.0,1,1
20434,Bat astrovirus Sk/CZ11/Hainan,2008.0,1.0,1.0,1,1
20435,Soybean blistering mosaic virus,2008.0,64.0,24.0,16,6
20436,Ebolavirus,2008.0,1744.0,49.0,218,6
20437,Kanaloavirus,2008.0,456.0,456.0,2,2
20438,Rana plancyi virus MS-2009a,2008.0,4.0,1.0,7,3
20439,Alphaendornavirus,2008.0,27.0,5.0,27,5
20440,Mycobacterium phage Scout,2008.0,87.0,87.0,1,1
20441,Bat kobuvirus TM001k,2008.0,1.0,1.0,1,1
20442,Hypoviridae,2008.0,265.0,77.0,259,77
20443,Rhabdoviridae,2008.0,18898.0,2326.0,11612,1655
20444,Soybean-associated deltaflexivirus 1,2008.0,8.0,8.0,2,2
20445,Cardiovirus B,2008.0,193.0,36.0,206,36
20446,Dalechampia chlorotic mosaic virus,2008.0,19.0,5.0,5,1
20447,Chicken picornavirus 5,2008.0,12.0,12.0,1,1
20448,Avipoxvirus TVPV2/NZL/2008,2008.0,1.0,1.0,1,1
20449,Thottimvirus,2008.0,29.0,1.0,29,1
20450,Chilli leaf curl India virus,2008.0,24.0,12.0,4,2
20451,Bat astrovirus Sk/CZ17/Hainan,2008.0,1.0,1.0,1,1
20452,Bat kobuvirus TM003k,2008.0,1.0,1.0,1,1
20453,Trivittatus orthobunyavirus,2008.0,15.0,3.0,11,3
20454,Soybean carlavirus 1,2008.0,12.0,12.0,2,2
20455,Cosavirus A,2008.0,29.0,3.0,56,6
20456,Mycobacterium virus Kugel,2008.0,190.0,190.0,2,2
20457,Alphacoronavirus,2008.0,2511.0,546.0,1379,290
20458,Bat kobuvirus TM246k,2008.0,0.0,0.0,1,1
20459,Alphacoronavirus sp.,2008.0,8.0,6.0,8,6
20460,Bat astrovirus Sk/CZ32/Hainan,2008.0,1.0,1.0,1,1
20461,Bat kobuvirus TM046k,2008.0,0.0,0.0,1,1
20462,Steller sea lion astrovirus 1,2008.0,2.0,2.0,1,1
20463,Bat kobuvirus TM042k,2008.0,0.0,0.0,1,1
20464,Synechococcus T7-like virus S-TIP30,2008.0,2.0,2.0,2,2
20465,Avihepatovirus,2008.0,92.0,15.0,92,15
20466,Digitaria streak virus,2008.0,585.0,330.0,157,89
20467,Rhinovirus B,2008.0,174.0,104.0,227,113
20468,Synechococcus phage S-CAM8,2008.0,667.0,667.0,3,3
20469,Betaretrovirus,2008.0,114.0,44.0,105,12
20470,Rotavirus turkey/MN/D-048814/2008,2008.0,1.0,1.0,1,1
20471,Mannheimia phage vB_MhM_3927AP2,2008.0,100.0,100.0,2,2
20472,Thermus phage TSP4,2008.0,98.0,98.0,1,1
20473,Kajamvirus,2008.0,114.0,1.0,6,1
20474,Tepovirus,2008.0,15.0,3.0,5,1
20475,Tetraselmis viridis virus SI1,2008.0,54.0,54.0,1,1
20476,Alphacoronavirus 1,2008.0,1427.0,352.0,681,123
20477,Bat astrovirus Sk/LZ05/Hainan,2008.0,1.0,1.0,1,1
20478,Chikungunya virus,2008.0,985.0,453.0,832,420
20479,Primate bocaparvovirus 1,2008.0,314.0,97.0,192,75
20480,Curtovirus,2008.0,358.0,7.0,51,1
20481,uncultured marine virus,2008.0,0.0,0.0,692,177
20482,Ichnovirus,2008.0,2.0,1.0,87,10
20483,Dioscorea bacilliform virus,2008.0,0.0,0.0,1,1
20484,East African cassava mosaic virus,2008.0,525.0,158.0,191,62
20485,Paramyxoviridae,2008.0,12251.0,2223.0,7792,1615
20486,Laem Singh virus,2008.0,24.0,14.0,24,14
20487,Fig latent virus 1,2008.0,4.0,4.0,1,1
20488,Dabieshan orthohantavirus,2008.0,23.0,23.0,23,23
20489,Ichthyscopus lebeck nervous necrosis virus,2008.0,1.0,1.0,1,1
20490,Bottlenose dolphin astrovirus 6,2008.0,4.0,4.0,4,4
20491,East African cassava mosaic Kenya virus,2008.0,217.0,107.0,63,30
20492,Soybean leaf-associated partitivirus 2,2008.0,2.0,2.0,2,2
20493,Soybean leaf-associated partitivirus 1,2008.0,1.0,1.0,1,1
20494,Soybean leaf-associated mitovirus 5,2008.0,1.0,1.0,1,1
20495,Alpaca coronavirus CA08-1/2008,2008.0,1.0,1.0,1,1
20496,East African cassava mosaic Cameroon virus,2008.0,26.0,15.0,7,3
20497,Tomato leaf curl Gujarat virus,2008.0,27.0,7.0,4,1
20498,Soybean leaf-associated mitovirus 4,2008.0,1.0,1.0,1,1
20499,Rice tungro spherical virus,2008.0,3.0,1.0,3,1
20500,Soybean leaf-associated mitovirus 3,2008.0,1.0,1.0,1,1
20501,Soybean leaf-associated mitovirus 2,2008.0,1.0,1.0,1,1
20502,Soybean leaf-associated mitovirus 1,2008.0,1.0,1.0,1,1
20503,Chilli leaf curl India alphasatellite,2008.0,5.0,2.0,5,2
20504,Spumavirus,2008.0,1207.0,899.0,1280,965
20505,Soybean leaf-associated endornavirus 1,2008.0,1.0,1.0,1,1
20506,Soybean leaf-associated botybirnavirus 1,2008.0,2.0,2.0,2,2
20507,Bottlenose dolphin astrovirus 5,2008.0,2.0,2.0,2,2
20508,Duck astrovirus GII.A,2008.0,4.0,3.0,2,1
20509,Mannheimia phage vB_MhM_587AP1,2008.0,102.0,102.0,2,2
20510,Cardiovirus,2008.0,225.0,40.0,241,41
20511,Betapleolipovirus,2008.0,25.0,25.0,2,2
20512,Bat astrovirus Sk/LZ04/Hainan,2008.0,1.0,1.0,1,1
20513,Bottlenose dolphin astrovirus 8,2008.0,2.0,2.0,2,2
20514,Chickpea chlorotic stunt virus,2008.0,1.0,1.0,1,1
20515,Vesiculovirus,2008.0,887.0,121.0,358,81
20516,Tenuivirus,2008.0,282.0,69.0,197,72
20517,Gou virus,2008.0,8.0,8.0,8,8
20518,Paramyxoviridae sp.,2008.0,40.0,11.0,7,2
20519,Lutjanus gibbus iridovirus,2008.0,1.0,1.0,1,1
20520,Grapevine yellow speckle viroid 2,2008.0,0.0,0.0,48,3
20521,Betapleolipovirus HRPV3,2008.0,25.0,25.0,2,2
20522,Salmonella phage vB_SemP_Emek,2008.0,140.0,140.0,2,2
20523,Rhinovirus C,2008.0,1264.0,434.0,1584,484
20524,Chickpea chlorotic dwarf virus,2008.0,226.0,54.0,57,14
20525,Polyomaviridae,2008.0,1524.0,475.0,837,260
20526,Avipoxvirus BL-2012,2008.0,3.0,1.0,3,1
20527,Thermocrinis Great Boiling Spring virus,2008.0,53.0,53.0,1,1
20528,Botybirnavirus,2008.0,6.0,6.0,6,6
20529,Sri Lankan cassava mosaic virus,2008.0,22.0,22.0,17,17
20530,Bottlenose dolphin astrovirus 7,2008.0,1.0,1.0,1,1
20531,Grapevine yellow speckle viroid 1,2008.0,0.0,0.0,13,11
20532,Respiratory syncytial virus,2008.0,796.0,69.0,786,69
20533,Kalanchoe mosaic virus,2008.0,4.0,4.0,4,4
20534,Pseudogymnoascus destructans partitivirus-pa,2008.0,6.0,6.0,6,6
20535,Grapevine virus L,2008.0,1.0,1.0,1,1
20536,Rotavirus turkey/MN/D-055431/2008,2008.0,1.0,1.0,1,1
20537,Cimodo virus,2008.0,53.0,12.0,53,12
20538,Hop stunt viroid,2008.0,0.0,0.0,25,21
20539,Circoviridae,2008.0,2851.0,653.0,2052,385
20540,Thailand orthohantavirus,2008.0,15.0,14.0,15,14
20541,Retroviridae,2008.0,508704.0,92187.0,331068,53912
20542,Lymphocytic choriomeningitis mammarenavirus,2008.0,79.0,8.0,46,4
20543,Venezuelan equine encephalitis virus,2008.0,316.0,20.0,234,16
20544,Rice yellow mottle virus,2008.0,84.0,2.0,54,2
20545,Thalassiosira gravida RNA virus,2008.0,0.0,0.0,1,1
20546,Eastern box turtle adenovirus,2008.0,3.0,3.0,3,3
20547,Turkey parvovirus 1078,2008.0,2.0,1.0,16,8
20548,Raunefjordenvirus,2008.0,150.0,150.0,2,2
20549,Rotavirus Hu/RJ/2008-320/Brazil/2008,2008.0,1.0,1.0,1,1
20550,Synechococcus T7-like virus oc43,2008.0,1.0,1.0,1,1
20551,Rotavirus Hu/RJ/2008-318/Brazil/2008,2008.0,1.0,1.0,1,1
20552,Potyviridae,2008.0,4262.0,1321.0,4098,1319
20553,Strawberry necrotic shock virus,2008.0,7.0,2.0,5,2
20554,Nodaviridae sp.,2008.0,0.0,0.0,2,2
20555,Begomovirus loofah/Khon Kaen2008/Feb2008,2008.0,1.0,1.0,1,1
20556,Respirovirus,2008.0,1324.0,237.0,762,140
20557,Sea bass Iberian betanodavirus,2008.0,2.0,2.0,2,2
20558,Grapevine associated totivirus-3,2008.0,1.0,1.0,1,1
20559,Fisher herpesvirus,2008.0,1.0,1.0,1,1
20560,Sea lion mastadenovirus A,2008.0,1.0,1.0,1,1
20561,Tobacco ringspot virus,2008.0,16.0,15.0,16,15
20562,Flavivirus sp.,2008.0,0.0,0.0,1,1
20563,Tomato leaf curl Karnataka virus-India [India/Banglore/Chilli/2008],2008.0,6.0,6.0,1,1
20564,Heterobasidion mitovirus 3,2008.0,4.0,1.0,4,1
20565,Enterovirus D,2008.0,261.0,114.0,307,145
20566,Salivirus,2008.0,79.0,26.0,67,28
20567,Pan troglodytes schweinfurthii polyomavirus 1,2008.0,1.0,1.0,1,1
20568,Soybean yellow mottle mosaic virus,2008.0,66.0,16.0,53,3
20569,Human polyomavirus 4,2008.0,384.0,87.0,135,32
20570,Treisthetapapillomavirus,2008.0,12.0,12.0,2,2
20571,Grapevine associated narnavirus-1,2008.0,2.0,2.0,2,2
20572,Nodaviridae,2008.0,429.0,131.0,408,123
20573,Grapevine associated partitivirus-1,2008.0,1.0,1.0,1,1
20574,Enterovirus C,2008.0,3426.0,571.0,3735,667
20575,Tobacco rattle virus,2008.0,34.0,9.0,17,9
20576,Bovine alphaherpesvirus 1,2008.0,1562.0,79.0,201,7
20577,Grapevine associated totivirus-1,2008.0,1.0,1.0,1,1
20578,Macavirus,2008.0,537.0,29.0,107,23
20579,Betacoronavirus 1,2008.0,1450.0,178.0,622,71
20580,Feline foamy virus,2008.0,60.0,20.0,36,12
20581,Ghunavirus,2008.0,344.0,147.0,7,3
20582,Mycobacterium phage CREW,2008.0,94.0,94.0,1,1
20583,La Jolla virus,2008.0,19.0,19.0,17,17
20584,Treisthetapapillomavirus 1,2008.0,12.0,12.0,2,2
20585,Grapevine associated totivirus-2,2008.0,3.0,3.0,2,2
20586,Mycobacterium phage Bruin,2008.0,282.0,282.0,2,2
20587,Japanese encephalitis virus,2008.0,947.0,217.0,1017,223
