,Taxonomy,Country,Cumulative_Count,Count
1235,Akabane orthobunyavirus,Indonesia,182,3
1236,Akabane orthobunyavirus,Israel,230,48
1237,Akabane orthobunyavirus,Japan,442,212
1238,Akabane orthobunyavirus,Kenya,444,2
1239,Akabane orthobunyavirus,Nigeria,448,4
1240,Akabane orthobunyavirus,South Korea,470,22
1241,Akabane orthobunyavirus,Taiwan,535,65
1242,Akabane orthobunyavirus,Turkey,572,37
1243,Akhmeta virus,Georgia,1518,1518
1244,Akhtuba virus,Russia,3,3
1245,Akodon montensis polyomavirus,Brazil,10,10
1246,Akonivirus,USA,716,716
1247,Aksy-Durug Melophagus sigmavirus,Russia,25,25
1248,Alagoas vesiculovirus,Brazil,49,49
1249,Alajuela orthobunyavirus,Ecuador,4,4
1250,Alajuela orthobunyavirus,Panama,12,8
1251,Alashan Botou tick virus 1,China,1,1
1252,Alaskapox virus,USA,206,206
1253,Albatrellopsis flettii mitovirus 1,Turkey,1,1
1254,Albatrosspox virus,New Zealand,695,695
1255,Alber virus,Lebanon,1,1
1256,Albetovirus,Slovenia,4,4
1257,Albetovirus,USA,5,1
1258,Albuca mosaic virus,Namibia,10,10
1259,Alcaligenes phage Piluca,USA,49,49
1260,Alcea rosea virus 1,China,9,9
1261,Alcea yellow mosaic virus,Switzerland,3,3
1262,Alcelaphine gammaherpesvirus 1,Kenya,145,145
1263,Alcelaphine gammaherpesvirus 1,Tanzania,151,6
1264,Alcelaphine gammaherpesvirus 1,USA,169,18
1265,Alcelaphine gammaherpesvirus 1,United Kingdom,170,1
1266,Alcelaphine gammaherpesvirus 2,USA,140,140
1267,Alces alces faeces associated circular virus MP65,USA,4,4
1268,Alces alces faeces associated genomovirus MP146,USA,2,2
1269,Alces alces faeces associated microvirus MP10 5560,USA,12,12
1270,Alces alces faeces associated microvirus MP11 5517,USA,12,12
1271,Alces alces faeces associated microvirus MP12 5423,USA,12,12
1272,Alces alces faeces associated microvirus MP15 5067,USA,8,8
1273,Alces alces faeces associated microvirus MP18 4940,USA,8,8
1274,Alces alces faeces associated microvirus MP21 4718,USA,6,6
1275,Alces alces faeces associated microvirus MP3 6497,USA,6,6
1276,Alcube phlebovirus,Portugal,8,8
1277,Alcyoneusvirus,Israel,550,550
1278,Alcyoneusvirus,USA,1111,561
1279,Aldhiuvirus,USA,3,3
1280,Aldhiuvirus defluviicola,USA,3,3
1281,Alefpapillomavirus,Spain,18,18
1282,Alefpapillomavirus 1,Spain,18,18
1283,Alehndavirus,USA,3,3
1284,Alehndavirus ruminicola,USA,3,3
1285,Alehxovirus,Japan,3,3
1286,Alehxovirus,USA,30,27
1287,Alehxovirus agradaptatum,USA,3,3
1288,Alehxovirus agrenecus,USA,3,3
1289,Alehxovirus agricola,USA,3,3
1290,Alehxovirus agrihabitans,USA,3,3
1291,Alehxovirus asiohabitans,USA,3,3
1292,Alehxovirus asiovicinum,USA,3,3
1293,Alehxovirus asiovivens,USA,3,3
1294,Alehxovirus borboradaptatum,Japan,3,3
1295,Alehxovirus humivicinum,USA,3,3
1296,Alehxovirus humivivens,USA,3,3
1297,Alenquer phlebovirus,Brazil,9,9
1298,Aleptorquevirus,Spain,12,12
1299,Alethinophid 2 reptarenavirus,Germany,22,22
1300,Alethinophid 2 reptarenavirus,Switzerland,28,6
1301,Alethinophid 3 reptarenavirus,Malaysia,8,8
1302,Alexandravirus,Mexico,334,334
1303,Alexandravirus,South Korea,8815,8481
1304,Alexandravirus,USA,9505,690
1305,Alexandravirus,United Kingdom,10165,660
1306,Alexandroupolis virga-like virus,Greece,4,4
1307,Alfalfa associated nucleorhabdovirus,Austria,14,14
1308,Alfalfa cytorhabdovirus 1,USA,1,1
1309,Alfalfa cytorhabdovirus 2,USA,1,1
1310,Alfalfa deltaparitivirus,USA,1,1
1311,Alfalfa deltapartitivirus,China,9,9
1312,Alfalfa dwarf cytorhabdovirus,Argentina,28,28
1313,Alfalfa dwarf cytorhabdovirus,China,38,10
1314,Alfalfa enamovirus 1,Argentina,25,25
1315,Alfalfa enamovirus 1,China,30,5
1316,Alfalfa enamovirus 1,Sudan,36,6
1317,Alfalfa leaf curl virus,Argentina,245,245
1318,Alfalfa leaf curl virus,China,323,78
1319,Alfalfa leaf curl virus,France,549,226
1320,Alfalfa leaf curl virus,Greece,570,21
1321,Alfalfa leaf curl virus,Iran,679,109
1322,Alfalfa leaf curl virus,Italy,728,49
1323,Alfalfa leaf curl virus,Jordan,756,28
1324,Alfalfa leaf curl virus,Lebanon,777,21
1325,Alfalfa leaf curl virus,Spain,854,77
1326,Alfalfa leaf curl virus,Syria,882,28
1327,Alfalfa leaf curl virus,Tunisia,924,42
1328,Alfalfa mosaic virus,Argentina,26,26
1329,Alfalfa mosaic virus,Australia,54,28
1330,Alfalfa mosaic virus,Bosnia and Herzegovina,55,1
1331,Alfalfa mosaic virus,Brazil,57,2
1332,Alfalfa mosaic virus,Canada,89,32
1333,Alfalfa mosaic virus,Chile,90,1
1334,Alfalfa mosaic virus,China,257,167
1335,Alfalfa mosaic virus,Croatia,260,3
1336,Alfalfa mosaic virus,Czech Republic,264,4
1337,Alfalfa mosaic virus,Ecuador,265,1
1338,Alfalfa mosaic virus,Egypt,290,25
1339,Alfalfa mosaic virus,France,293,3
1340,Alfalfa mosaic virus,Germany,297,4
1341,Alfalfa mosaic virus,Hungary,298,1
1342,Alfalfa mosaic virus,India,300,2
1343,Alfalfa mosaic virus,Iran,401,101
1344,Alfalfa mosaic virus,Italy,412,11
1345,Alfalfa mosaic virus,Japan,413,1
1346,Alfalfa mosaic virus,Macedonia,414,1
1347,Alfalfa mosaic virus,Mexico,417,3
1348,Alfalfa mosaic virus,New Zealand,423,6
1349,Alfalfa mosaic virus,Russia,425,2
1350,Alfalfa mosaic virus,Saudi Arabia,478,53
1351,Alfalfa mosaic virus,Serbia,491,13
1352,Alfalfa mosaic virus,South Korea,495,4
1353,Alfalfa mosaic virus,Spain,742,247
1354,Alfalfa mosaic virus,Turkey,763,21
1355,Alfalfa mosaic virus,USA,845,82
1356,Alfalfa mosaic virus,United Kingdom,849,4
1357,Alfalfa nucleorhabdovirus 1,USA,1,1
1358,Alfalfa ringspot-associated virus,Australia,2,2
1359,Alfalfa toti-like virus 1,USA,1,1
1360,Alfalfa virus F,France,2,2
1361,Alfalfa virus S,China,6,6
1362,Alfalfa virus S,Sudan,18,12
1363,Alfalfa virus S,USA,24,6
1364,Alfalfa-associated picorna-like virus 1,USA,2,2
1365,Alfamovirus,Argentina,26,26
1366,Alfamovirus,Australia,54,28
1367,Alfamovirus,Bosnia and Herzegovina,55,1
1368,Alfamovirus,Brazil,57,2
1369,Alfamovirus,Canada,89,32
1370,Alfamovirus,Chile,90,1
1371,Alfamovirus,China,257,167
1372,Alfamovirus,Croatia,260,3
1373,Alfamovirus,Czech Republic,264,4
1374,Alfamovirus,Ecuador,265,1
1375,Alfamovirus,Egypt,290,25
1376,Alfamovirus,France,293,3
1377,Alfamovirus,Germany,297,4
1378,Alfamovirus,Hungary,298,1
1379,Alfamovirus,India,300,2
1380,Alfamovirus,Iran,401,101
1381,Alfamovirus,Italy,412,11
1382,Alfamovirus,Japan,413,1
1383,Alfamovirus,Macedonia,414,1
1384,Alfamovirus,Mexico,417,3
1385,Alfamovirus,New Zealand,423,6
1386,Alfamovirus,Russia,425,2
1387,Alfamovirus,Saudi Arabia,478,53
1388,Alfamovirus,Serbia,491,13
1389,Alfamovirus,South Korea,495,4
1390,Alfamovirus,Spain,742,247
1391,Alfamovirus,Turkey,763,21
1392,Alfamovirus,USA,845,82
1393,Alfamovirus,United Kingdom,849,4
1394,Algerian watermelon mosaic virus,Algeria,13,13
1395,Alhagi bacilliform virus,China,5,5
1396,Aliusviridae,Australia,3,3
1397,Aliusviridae,Belgium,6,3
1398,Aliusviridae,China,26,20
1399,Aliusviridae,Colombia,29,3
1400,Aliusviridae,Finland,31,2
1401,Alkalimonas phage phiMOD2.32-OM,USA,1,1
1402,Alkalimonas phage phiMOD3.20-OM,USA,1,1
1403,Alkalimonas phage phiMOL1.4-NB,USA,1,1
1404,Alkalimonas phage phiMOL1.4-ST,USA,1,1
1405,Alkalimonas phage phiMOM3.2-OM,USA,1,1
1406,Alkalimonas phage phiMOM3.3-MOD2,USA,1,1
1407,All Species,Afghanistan,1452,1452
1408,All Species,Albania,1960,508
1409,All Species,Algeria,7526,5566
1410,All Species,Andorra,7530,4
1411,All Species,Angola,9430,1900
1412,All Species,Anguilla,9435,5
1413,All Species,Antarctica,12410,2975
1414,All Species,Antigua and Barbuda,12426,16
1415,All Species,Arctic Ocean,23805,11379
1416,All Species,Argentina,66980,43175
1417,All Species,Armenia,68130,1150
1418,All Species,Aruba,68160,30
1419,All Species,Australia,385740,317580
1420,All Species,Austria,402690,16950
1421,All Species,Azerbaijan,403579,889
1422,All Species,Bahamas,403643,64
1423,All Species,Bahrain,534535,130892
1424,All Species,Bangladesh,583632,49097
1425,All Species,Barbados,583985,353
1426,All Species,Belarus,587849,3864
1427,All Species,Belgian Congo,587920,71
1428,All Species,Belgium,650540,62620
1429,All Species,Belize,650782,242
1430,All Species,Benin,656584,5802
1431,All Species,Bermuda,658043,1459
1432,All Species,Bhutan,661501,3458
1433,All Species,Bolivia,663057,1556
1434,All Species,Borneo,663064,7
1435,All Species,Bosnia and Herzegovina,663685,621
1436,All Species,Botswana,684419,20734
1437,All Species,Brazil,1078591,394172
1438,All Species,British Guiana,1078593,2
1439,All Species,British Virgin Islands,1078606,13
1440,All Species,Brunei,1078664,58
1441,All Species,Bulgaria,1082822,4158
1442,All Species,Burkina Faso,1086445,3623
1443,All Species,Burundi,1087302,857
1444,All Species,Cambodia,1100219,12917
1445,All Species,Cameroon,1131740,31521
1446,All Species,Canada,1288868,157128
1447,All Species,Cape Verde,1289648,780
1448,All Species,Cayman Islands,1289658,10
1449,All Species,Central African Republic,1296735,7077
1450,All Species,Chad,1297783,1048
1451,All Species,Chile,1327882,30099
1452,All Species,China,2177302,849420
1453,All Species,Christmas Island,2177314,12
1454,All Species,Colombia,2214428,37114
1455,All Species,Comoros,2215565,1137
1456,All Species,Cook Islands,2215621,56
1457,All Species,Costa Rica,2217441,1820
1458,All Species,Cote d'Ivoire,2228399,10958
1459,All Species,Croatia,2233064,4665
1460,All Species,Cuba,2239016,5952
1461,All Species,Cyprus,2242237,3221
1462,All Species,Czech Republic,2370509,128272
1463,All Species,Czechoslovakia,2370719,210
1464,All Species,Democratic Republic of the Congo,2393283,22564
1465,All Species,Denmark,2463742,70459
1466,All Species,Djibouti,2474118,10376
1467,All Species,Dominica,2474146,28
1468,All Species,Dominican Republic,2481028,6882
1469,All Species,East Timor,2481184,156
1470,All Species,Ecuador,2484089,2905
1471,All Species,Egypt,2520031,35942
1472,All Species,El Salvador,2520503,472
1473,All Species,Equatorial Guinea,2521530,1027
1474,All Species,Eritrea,2521655,125
1475,All Species,Estonia,2524829,3174
1476,All Species,Ethiopia,2537529,12700
1477,All Species,Europa Island,2537535,6
1478,All Species,Faroe Islands,2537810,275
1479,All Species,Fiji,2538314,504
1480,All Species,Finland,2557655,19341
1481,All Species,France,3222988,665333
1482,All Species,French Guiana,3224415,1427
1483,All Species,French Polynesia,3224872,457
1484,All Species,Gabon,3234039,9167
1485,All Species,Gambia,3240623,6584
1486,All Species,Gaza Strip,3240647,24
1487,All Species,Georgia,3250743,10096
1488,All Species,Germany,3533995,283252
1489,All Species,Ghana,3547387,13392
1490,All Species,Gibraltar,3547402,15
1491,All Species,Greece,3562655,15253
1492,All Species,Greenland,3563436,781
1493,All Species,Grenada,3563545,109
1494,All Species,Guadeloupe,3564596,1051
1495,All Species,Guatemala,3569482,4886
1496,All Species,Guernsey,3569546,64
1497,All Species,Guinea,3574836,5290
1498,All Species,Guinea-Bissau,3579593,4757
1499,All Species,Guyana,3579732,139
1500,All Species,Haiti,3581069,1337
1501,All Species,Honduras,3582198,1129
1502,All Species,Hong Kong,3651291,69093
1503,All Species,Hungary,3665090,13799
1504,All Species,Iceland,3667527,2437
1505,All Species,India,3839663,172136
1506,All Species,Indian Ocean,3839671,8
1507,All Species,Indonesia,3861402,21731
1508,All Species,Iran,3892866,31464
1509,All Species,Iraq,3898001,5135
1510,All Species,Ireland,3932913,34912
1511,All Species,Israel,3959075,26162
1512,All Species,Italy,4073111,114036
1513,All Species,Jamaica,4079131,6020
1514,All Species,Japan,4651684,572553
1515,All Species,Jersey,4651822,138
1516,All Species,Jordan,4655975,4153
1517,All Species,Kazakhstan,4665123,9148
1518,All Species,Kenya,4834686,169563
1519,All Species,Kiribati,4835525,839
1520,All Species,Korea,4838246,2721
1521,All Species,Kosovo,4838848,602
1522,All Species,Kuwait,4840422,1574
1523,All Species,Kyrgyzstan,4842665,2243
1524,All Species,Laos,4856752,14087
1525,All Species,Latvia,4859530,2778
1526,All Species,Lebanon,4862107,2577
1527,All Species,Lesotho,4862172,65
1528,All Species,Liberia,4865033,2861
1529,All Species,Libya,4865890,857
1530,All Species,Liechtenstein,4865915,25
1531,All Species,Lithuania,4875203,9288
1532,All Species,Luxembourg,4878977,3774
1533,All Species,Macau,4879082,105
1534,All Species,Macedonia,4879444,362
1535,All Species,Madagascar,4885889,6445
1536,All Species,Malawi,4976566,90677
1537,All Species,Malaysia,5003089,26523
1538,All Species,Maldives,5003191,102
1539,All Species,Mali,5006380,3189
1540,All Species,Malta,5006573,193
1541,All Species,Marshall Islands,5006597,24
1542,All Species,Martinique,5007802,1205
1543,All Species,Mauritania,5008162,360
1544,All Species,Mauritius,5010409,2247
1545,All Species,Mayotte,5010919,510
1546,All Species,Mediterranean Sea,5010942,23
1547,All Species,Mexico,5249900,238958
1548,All Species,Micronesia,5249940,40
1549,All Species,Midway Islands,5249952,12
1550,All Species,Moldova,5250504,552
1551,All Species,Mongolia,5264682,14178
1552,All Species,Montenegro,5264989,307
1553,All Species,Montserrat,5265000,11
1554,All Species,Morocco,5269216,4216
1555,All Species,Mozambique,5273245,4029
1556,All Species,Myanmar,5279925,6680
1557,All Species,Namibia,5280996,1071
1558,All Species,Nauru,5281004,8
1559,All Species,Nepal,5286848,5844
1560,All Species,Netherlands,5349622,62774
1561,All Species,Netherlands Antilles,5349626,4
1562,All Species,New Caledonia,5351167,1541
1563,All Species,New Zealand,5573220,222053
1564,All Species,Nicaragua,5588161,14941
1565,All Species,Niger,5589064,903
1566,All Species,Nigeria,5658179,69115
1567,All Species,Niue,5658185,6
1568,All Species,North Korea,5658212,27
1569,All Species,Norway,5667359,9147
1570,All Species,Oman,5669570,2211
1571,All Species,Pacific Ocean,5689105,19535
1572,All Species,Pakistan,5731197,42092
1573,All Species,Palau,5731474,277
1574,All Species,Panama,5734840,3366
1575,All Species,Papua New Guinea,5736033,1193
1576,All Species,Paraguay,5741985,5952
1577,All Species,Peru,5773924,31939
1578,All Species,Philippines,5786299,12375
1579,All Species,Poland,5829438,43139
1580,All Species,Portugal,5928235,98797
1581,All Species,Qatar,5928995,760
1582,All Species,Republic of the Congo,5930982,1987
1583,All Species,Reunion,5932982,2000
1584,All Species,Romania,5938045,5063
1585,All Species,Russia,6036922,98877
1586,All Species,Rwanda,6046758,9836
1587,All Species,Saint Barthelemy,6046765,7
1588,All Species,Saint Kitts and Nevis,6047086,321
1589,All Species,Saint Lucia,6047109,23
1590,All Species,Saint Martin,6047122,13
1591,All Species,Saint Vincent and the Grenadines,6047164,42
1592,All Species,Samoa,6047250,86
1593,All Species,San Marino,6047253,3
1594,All Species,Sao Tome and Principe,6047308,55
1595,All Species,Saudi Arabia,6063622,16314
1596,All Species,Senegal,6069528,5906
1597,All Species,Serbia,6075486,5958
1598,All Species,Serbia and Montenegro,6075531,45
1599,All Species,Seychelles,6087633,12102
1600,All Species,Sierra Leone,6102381,14748
1601,All Species,Singapore,6129364,26983
1602,All Species,Slovakia,6134154,4790
1603,All Species,Slovenia,6153633,19479
1604,All Species,Solomon Islands,6153880,247
1605,All Species,Somalia,6154312,432
1606,All Species,South Africa,6346852,192540
1607,All Species,South Georgia and the South Sandwich Islands,6346902,50
1608,All Species,South Korea,6477707,130805
1609,All Species,South Sudan,6477736,29
1610,All Species,Spain,6642239,164503
1611,All Species,Sri Lanka,6645082,2843
1612,All Species,State of Palestine,6645220,138
1613,All Species,Sudan,6648721,3501
1614,All Species,Suriname,6649231,510
1615,All Species,Svalbard,6649417,186
1616,All Species,Swaziland,6649519,102
1617,All Species,Sweden,6691879,42360
1618,All Species,Switzerland,6738732,46853
1619,All Species,Syria,6739502,770
1620,All Species,Taiwan,6786254,46752
1621,All Species,Tajikistan,6787359,1105
1622,All Species,Tanzania,6830387,43028
1623,All Species,Thailand,7004019,173632
1624,All Species,The former Yugoslav Republic of Macedonia,7004036,17
1625,All Species,Timor-Leste,7004594,558
1626,All Species,Togo,7006819,2225
1627,All Species,Tokelau,7006820,1
1628,All Species,Tonga,7007998,1178
1629,All Species,Trinidad and Tobago,7012411,4413
1630,All Species,Tromelin Island,7012412,1
1631,All Species,Tunisia,7023268,10856
1632,All Species,Turkey,7041830,18562
1633,All Species,Turkmenistan,7041908,78
1634,All Species,Turks and Caicos Islands,7041912,4
1635,All Species,Tuvalu,7041917,5
1636,All Species,USA,47349632,40307715
1637,All Species,USSR,47350019,387
1638,All Species,Uganda,47412277,62258
1639,All Species,Ukraine,47416976,4699
1640,All Species,United Arab Emirates,47421558,4582
1641,All Species,United Kingdom,47617651,196093
1642,All Species,Uruguay,47623394,5743
1643,All Species,Uzbekistan,47625603,2209
1644,All Species,Vanuatu,47626059,456
1645,All Species,Venezuela,47631716,5657
1646,All Species,Viet Nam,47725174,93458
1647,All Species,Wallis and Futuna,47725202,28
1648,All Species,West Bank,47726640,1438
1649,All Species,Yemen,47727124,484
1650,All Species,Yugoslavia,47727243,119
1651,All Species,Zaire,47728680,1437
1652,All Species,Zambia,47757730,29050
1653,All Species,Zimbabwe,47763610,5880
1654,Allamanda leaf curl virus,China,12,12
1655,Allamanda leaf mottle distortion virus,India,16,16
1656,Allamanda mosaic virus,Taiwan,3,3
1657,Allermuir Hill virus 1,United Kingdom,3,3
1658,Allermuir Hill virus 2,United Kingdom,2,2
1659,Allermuir Hill virus 3,United Kingdom,2,2
1660,Allexivirus,Argentina,37,37
1661,Allexivirus,Australia,137,100
1662,Allexivirus,Austria,139,2
1663,Allexivirus,Brazil,220,81
1664,Allexivirus,China,1789,1569
1665,Allexivirus,Colombia,1804,15
1666,Allexivirus,Czech Republic,1914,110
1667,Allexivirus,Ecuador,1916,2
1668,Allexivirus,Ethiopia,1936,20
1669,Allexivirus,France,1972,36
1670,Allexivirus,Hungary,1978,6
1671,Allexivirus,India,2105,127
1672,Allexivirus,Iran,2151,46
1673,Allexivirus,Italy,2188,37
1674,Allexivirus,Japan,2232,44
1675,Allexivirus,Kenya,2237,5
1676,Allexivirus,Korea,2249,12
1677,Allexivirus,Nepal,2250,1
1678,Allexivirus,Netherlands,2252,2
1679,Allexivirus,New Zealand,2254,2
1680,Allexivirus,Pakistan,2261,7
1681,Allexivirus,Philippines,2281,20
1682,Allexivirus,Poland,2628,347
1683,Allexivirus,Portugal,2632,4
1684,Allexivirus,Reunion,2644,12
1685,Allexivirus,Russia,2658,14
1686,Allexivirus,Serbia,2698,40
1687,Allexivirus,Slovakia,2706,8
1688,Allexivirus,Slovenia,2713,7
1689,Allexivirus,South Korea,2813,100
1690,Allexivirus,Spain,2893,80
1691,Allexivirus,Sudan,2916,23
1692,Allexivirus,Tunisia,2929,13
1693,Allexivirus,USA,2977,48
1694,Allexivirus,United Kingdom,2982,5
1695,Allexivirus DS-2013/CZE,Czech Republic,2,2
1696,Allium carlavirus A,China,6,6
1697,Allium cepa amalgavirus 2,Brazil,2,2
1698,Allium polerovirus A,Brazil,5,5
1699,Allium polerovirus A,China,10,5
1700,Allium virus X,Netherlands,10,10
1701,Alloherpesviridae,Austria,1,1
1702,Alloherpesviridae,Belgium,10,9
1703,Alloherpesviridae,Brazil,17,7
1704,Alloherpesviridae,Canada,152,135
1705,Alloherpesviridae,China,1624,1472
1706,Alloherpesviridae,Croatia,1626,2
1707,Alloherpesviridae,Czech Republic,1629,3
1708,Alloherpesviridae,Denmark,2151,522
1709,Alloherpesviridae,Finland,2153,2
1710,Alloherpesviridae,Hungary,2177,24
1711,Alloherpesviridae,India,2193,16
1712,Alloherpesviridae,Indonesia,3152,959
1713,Alloherpesviridae,Iran,3163,11
1714,Alloherpesviridae,Iraq,3169,6
1715,Alloherpesviridae,Israel,3177,8
1716,Alloherpesviridae,Italy,3367,190
1717,Alloherpesviridae,Japan,4029,662
1718,Alloherpesviridae,Malaysia,4037,8
1719,Alloherpesviridae,Mexico,4048,11
1720,Alloherpesviridae,Netherlands,4611,563
1721,Alloherpesviridae,New Zealand,4614,3
1722,Alloherpesviridae,Poland,4774,160
1723,Alloherpesviridae,Russia,4804,30
1724,Alloherpesviridae,Serbia,4806,2
1725,Alloherpesviridae,South Korea,4817,11
1726,Alloherpesviridae,Spain,4818,1
1727,Alloherpesviridae,Switzerland,5190,372
1728,Alloherpesviridae,Taiwan,5350,160
1729,Alloherpesviridae,Thailand,5446,96
1730,Alloherpesviridae,USA,6375,929
1731,Alloherpesviridae,United Kingdom,6536,161
1732,Alloherpesviridae,Viet Nam,6540,4
1733,Allolevivirus,Brazil,6,6
1734,Allolevivirus,Japan,14,8
1735,Allolevivirus,South Korea,22,8
1736,Allolevivirus,Taiwan,28,6
1737,Allolevivirus,USA,82,54
1738,Allomyrina virus,South Korea,3,3
1739,Alloteropsis cryptic virus 1,South Africa,2,2
1740,Alloteropsis cryptic virus 1,United Kingdom,3,1
1741,Alloteropsis cryptic virus 2,South Africa,3,3
1742,Allpahuayo mammarenavirus,Peru,10,10
1743,Almazovo tick virus,Russia,1,1
1744,Almendravirus,China,59,59
1745,Almendravirus,Colombia,66,7
1746,Almendravirus,Japan,71,5
1747,Almendravirus,Panama,77,6
1748,Almendravirus,Peru,101,24
1749,Almendravirus,Tunisia,102,1
1750,Almendravirus,USA,108,6
1751,Almendravirus menghai,Tunisia,1,1
1752,Almond luteovirus 1,Turkey,4,4
1753,Almopos endorna-like virus 1,Australia,1,1
1754,Almpiwar sripuvirus,Australia,49,49
1755,Alohrdovirus,USA,3,3
1756,Alohrdovirus borborenecus,USA,3,3
1757,Alongshan virus,China,57,57
1758,Alongshan virus,Finland,69,12
1759,Alongshan virus,Russia,165,96
1760,Alongshan virus,Switzerland,171,6
1761,Alouatta caraya papillomavirus,Argentina,1,1
1762,Alouatta macconnelli cytomegalovirus,French Guiana,1,1
1763,Alouatta palliata cytomegalovirus,Mexico,1,1
1764,Alouatta seniculus cytomegalovirus,Colombia,2,2
1765,Alpaca adenovirus CA/2007,USA,1,1
1766,Alpaca adenovirus GBR/3387_02,United Kingdom,1,1
1767,Alpaca coronavirus,Peru,23,23
1768,Alpaca coronavirus CA08-1/2008,USA,1,1
1769,Alphaarterivirus,Argentina,13,13
1770,Alphaarterivirus,Austria,28,15
1771,Alphaarterivirus,Belgium,29,1
1772,Alphaarterivirus,Canada,78,49
1773,Alphaarterivirus,Chile,91,13
1774,Alphaarterivirus,China,92,1
1775,Alphaarterivirus,France,249,157
1776,Alphaarterivirus,Hungary,284,35
1777,Alphaarterivirus,Iran,285,1
1778,Alphaarterivirus,Italy,341,56
1779,Alphaarterivirus,Netherlands,369,28
1780,Alphaarterivirus,Norway,370,1
1781,Alphaarterivirus,Poland,616,246
1782,Alphaarterivirus,Saudi Arabia,617,1
1783,Alphaarterivirus,Serbia,627,10
1784,Alphaarterivirus,Slovenia,656,29
1785,Alphaarterivirus,South Africa,664,8
1786,Alphaarterivirus,Sweden,748,84
1787,Alphaarterivirus,Switzerland,768,20
1788,Alphaarterivirus,Turkey,769,1
1789,Alphaarterivirus,USA,1887,1118
1790,Alphaarterivirus,United Kingdom,1931,44
1791,Alphaarterivirus equid,Argentina,13,13
1792,Alphaarterivirus equid,Austria,28,15
1793,Alphaarterivirus equid,Belgium,29,1
1794,Alphaarterivirus equid,Canada,78,49
1795,Alphaarterivirus equid,Chile,91,13
1796,Alphaarterivirus equid,China,92,1
1797,Alphaarterivirus equid,France,249,157
1798,Alphaarterivirus equid,Hungary,284,35
1799,Alphaarterivirus equid,Iran,285,1
1800,Alphaarterivirus equid,Italy,341,56
1801,Alphaarterivirus equid,Netherlands,369,28
1802,Alphaarterivirus equid,Norway,370,1
1803,Alphaarterivirus equid,Poland,616,246
1804,Alphaarterivirus equid,Saudi Arabia,617,1
1805,Alphaarterivirus equid,Serbia,627,10
1806,Alphaarterivirus equid,Slovenia,656,29
1807,Alphaarterivirus equid,South Africa,664,8
1808,Alphaarterivirus equid,Sweden,748,84
1809,Alphaarterivirus equid,Switzerland,768,20
1810,Alphaarterivirus equid,Turkey,769,1
1811,Alphaarterivirus equid,USA,1887,1118
1812,Alphaarterivirus equid,United Kingdom,1931,44
1813,Alphabaculovirus,Argentina,345,345
1814,Alphabaculovirus,Australia,2011,1666
1815,Alphabaculovirus,Brazil,9227,7216
1816,Alphabaculovirus,Canada,11252,2025
1817,Alphabaculovirus,China,18564,7312
1818,Alphabaculovirus,Colombia,18876,312
1819,Alphabaculovirus,Denmark,18879,3
1820,Alphabaculovirus,Egypt,19169,290
1821,Alphabaculovirus,France,19331,162
1822,Alphabaculovirus,Germany,19336,5
1823,Alphabaculovirus,Guatemala,19489,153
1824,Alphabaculovirus,Honduras,19492,3
1825,Alphabaculovirus,India,21103,1611
1826,Alphabaculovirus,Indonesia,21394,291
1827,Alphabaculovirus,Iran,21462,68
1828,Alphabaculovirus,Ireland,21773,311
1829,Alphabaculovirus,Japan,22965,1192
1830,Alphabaculovirus,Korea,23102,137
1831,Alphabaculovirus,Laos,23245,143
1832,Alphabaculovirus,Latvia,23246,1
1833,Alphabaculovirus,Mexico,23396,150
1834,Alphabaculovirus,Nicaragua,23681,285
1835,Alphabaculovirus,Nigeria,23825,144
1836,Alphabaculovirus,Pakistan,23826,1
1837,Alphabaculovirus,Poland,24331,505
1838,Alphabaculovirus,Portugal,24332,1
1839,Alphabaculovirus,Romania,24334,2
1840,Alphabaculovirus,Russia,25623,1289
1841,Alphabaculovirus,South Africa,25894,271
1842,Alphabaculovirus,South Korea,26800,906
1843,Alphabaculovirus,Spain,28254,1454
1844,Alphabaculovirus,Sudan,28259,5
1845,Alphabaculovirus,Taiwan,28983,724
1846,Alphabaculovirus,Tanzania,28984,1
1847,Alphabaculovirus,Thailand,28999,15
1848,Alphabaculovirus,Turkey,29891,892
1849,Alphabaculovirus,USA,33285,3394
1850,Alphabaculovirus,Ukraine,33288,3
1851,Alphabaculovirus,United Kingdom,33839,551
1852,Alphabaculovirus,Uruguay,34312,473
1853,Alphacarmotetravirus,Hungary,4,4
1854,Alphacarmotetravirus,USA,16,12
1855,Alphacarmovirus,Australia,3,3
1856,Alphacarmovirus,Brazil,5,2
1857,Alphacarmovirus,Canada,25,20
1858,Alphacarmovirus,China,69,44
1859,Alphacarmovirus,Colombia,72,3
1860,Alphacarmovirus,Czech Republic,78,6
1861,Alphacarmovirus,France,81,3
1862,Alphacarmovirus,Germany,125,44
1863,Alphacarmovirus,India,138,13
1864,Alphacarmovirus,Indonesia,139,1
1865,Alphacarmovirus,Iran,151,12
1866,Alphacarmovirus,Israel,158,7
1867,Alphacarmovirus,Italy,170,12
1868,Alphacarmovirus,Japan,191,21
1869,Alphacarmovirus,Kenya,221,30
1870,Alphacarmovirus,Mexico,225,4
1871,Alphacarmovirus,Netherlands,291,66
1872,Alphacarmovirus,Poland,292,1
1873,Alphacarmovirus,Slovenia,295,3
1874,Alphacarmovirus,South Korea,312,17
1875,Alphacarmovirus,Spain,401,89
