Species,Host,Count
Beauveria bassiana partitivirus 3,Beauveria bassiana,2
Beauveria bassiana polymycovirus 1,Beauveria bassiana,8
Beauveria bassiana polymycovirus 2,Beauveria bassiana,3
Beauveria bassiana polymycovirus 3,Beauveria bassiana,3
Beauveria bassiana polymycovirus 4,Beauveria bassiana,6
Beauveria bassiana victorivirus 1,Xanthoria parietina,1
Beauveria bassiana victorivirus NZL/1980,Beauveria bassiana,2
Becan tricladivirus 1,Bdelloura candida,1
Becan tricladivirus 2,Bdelloura candida,1
Becan tricladivirus 3,Bdelloura candida,1
Becurtovirus sp.,Beta vulgaris,19
Becurtovirus sp.,Cylindropuntia echinocarpa,1
Becurtovirus sp.,Cylindropuntia spinosior,1
Becurtovirus sp.,Opuntia,10
Becurtovirus sp.,Opuntia basilaris,1
Becurtovirus sp.,Opuntia engelmannii,1
Becurtovirus sp.,Opuntia engelmannii var. aciculata,2
Becurtovirus sp.,Opuntia engelmannii var. lindheimeri,1
Becurtovirus sp.,Opuntia engelmannii var. linguiformis,1
Becurtovirus sp.,Opuntia martiniana,1
Becurtovirus sp.,Opuntia microdasys,5
Becurtovirus sp.,Opuntia phaeacantha,2
Becurtovirus sp.,Opuntia santa-rita,3
Becurtovirus sp.,Opuntia stenopetala,1
Bee Macula-like virus,Apis mellifera,6
Bee Macula-like virus,Bombus pratorum,1
Bee Macula-like virus,Varroa destructor,2
Bee Macula-like virus,Vespa velutina nigrithorax,1
Bee iflavirus 1,Andrena haemorrhoa,1
Beet black scorch virus,Beta vulgaris,60
Beet black scorch virus,Beta vulgaris subsp. vulgaris,4
Beet black scorch virus satellite RNA,Beta vulgaris subsp. vulgaris,1
Beet chlorosis virus,Beta vulgaris,5
Beet chlorosis virus,Beta vulgaris subsp. vulgaris,23
Beet cryptic virus 1,Beta vulgaris,5
Beet cryptic virus 2,Beta vulgaris,6
Beet cryptic virus 2,Beta vulgaris subsp. vulgaris,3
Beet cryptic virus 2,Nicotiana tabacum,2
Beet cryptic virus 2,Rheum palmatum,2
Beet cryptic virus 3,Nicotiana tabacum,1
Beet curly top Iran virus,Amaranthus,1
Beet curly top Iran virus,Amaranthus caudatus,1
Beet curly top Iran virus,Beta vulgaris,28
Beet curly top Iran virus,Beta vulgaris subsp. maritima,1
Beet curly top Iran virus,Beta vulgaris subsp. vulgaris,9
Beet curly top Iran virus,Brassica rapa subsp. rapa,1
Beet curly top Iran virus,Capsicum frutescens,1
Beet curly top Iran virus,Convolvulus,1
Beet curly top Iran virus,Dianthus barbatus,2
Beet curly top Iran virus,Embryophyta,6
Beet curly top Iran virus,Petunia,1
Beet curly top Iran virus,Phaseolus vulgaris,1
Beet curly top Iran virus,Physalis,1
Beet curly top Iran virus,Solanum,2
Beet curly top Iran virus,Solanum lycopersicum,4
Beet curly top Iran virus,Solanum melongena,1
Beet curly top Iran virus,Spinacia oleracea,1
Beet curly top Iran virus,Vigna unguiculata,2
Beet curly top Iran virus-[Siv] satellite DNA,Beta vulgaris,1
Beet curly top virus,Beta vulgaris,82
Beet curly top virus,Cannabis sativa,45
Beet curly top virus,Capsella bursa-pastoris,1
Beet curly top virus,Capsicum,2
Beet curly top virus,Capsicum annuum,18
Beet curly top virus,Coriandrum sativum,8
Beet curly top virus,Cucumis melo,2
Beet curly top virus,Cucurbita,1
Beet curly top virus,Piperaceae,2
Beet curly top virus,Solanum lycopersicum,19
Beet leaf yellowing virus,Beta vulgaris,4
Beet mild curly top virus,Beta vulgaris,34
Beet mild curly top virus,Cucurbita maxima,1
Beet mild curly top virus,Cucurbita pepo,1
Beet mild yellowing virus,Beta vulgaris,9
Beet mild yellowing virus,Beta vulgaris subsp. vulgaris,27
Beet mild yellowing virus,Vicia faba,1
Beet mosaic virus,Benincasa hispida,2
Beet mosaic virus,Beta vulgaris,19
Beet mosaic virus,Beta vulgaris subsp. vulgaris,5
Beet mosaic virus,Lactuca sativa,1
Beet mosaic virus,Nicotiana benthamiana,1
Beet mosaic virus,Nicotiana tabacum,1
Beet necrotic yellow vein virus,Beta vulgaris,302
Beet necrotic yellow vein virus,Beta vulgaris subsp. vulgaris,773
Beet necrotic yellow vein virus,Chenopodium quinoa,7
Beet necrotic yellow vein virus,Spinacia oleracea,1
Beet necrotic yellow vein virus,Tetragonia tetragonoides,16
Beet pseudoyellows virus,Amaranthus retroflexus,1
Beet pseudoyellows virus,Coriandrum sativum,7
Beet pseudoyellows virus,Cucumis sativus,14
Beet pseudoyellows virus,Cucurbita moschata,2
Beet pseudoyellows virus,Fragaria,14
Beet pseudoyellows virus,Fragaria vesca,1
Beet pseudoyellows virus,Fragaria x ananassa,3
Beet pseudoyellows virus,Galium aparine,1
Beet pseudoyellows virus,Lactuca sativa,4
Beet pseudoyellows virus,Nicotiana benthamiana,4
Beet ringspot virus,Hosta,2
Beet ringspot virus,Oxalis,2
Beet ringspot virus,Oxalis triangularis,2
Beet ringspot virus,Pelargonium,2
Beet ringspot virus,Rubus idaeus,2
Beet ringspot virus,Solanum stenotomum subsp. goniocalyx,2
Beet ringspot virus,Solanum tuberosum,10
Beet ringspot virus satellite,Hosta,1
Beet severe curly top virus,Beta vulgaris,17
Beet severe curly top virus,Chenopodium,3
Beet severe curly top virus,Datura,1
Beet severe curly top virus,Dianthus barbatus,1
Beet severe curly top virus,Petunia,1
Beet severe curly top virus,Physalis,2
Beet severe curly top virus,Piperaceae,4
Beet severe curly top virus,Portulaca,1
Beet severe curly top virus,Solanum lycopersicum,1
Beet soil-borne mosaic virus,Beta vulgaris,12
Beet soil-borne mosaic virus,Beta vulgaris subsp. vulgaris,1
Beet soil-borne virus,Beta vulgaris,30
Beet soil-borne virus,Beta vulgaris subsp. vulgaris,27
Beet virus Q,Beta vulgaris,45
Beet virus Q,Beta vulgaris subsp. vulgaris,6
Beet western yellows virus,Amaranthus,1
Beet western yellows virus,Beta vulgaris,17
Beet western yellows virus,Beta vulgaris subsp. vulgaris,4
Beet western yellows virus,Brassica napus,9
Beet western yellows virus,Brassica napus subsp. rapifera,2
Beet western yellows virus,Brassica oleracea var. italica,2
Beet western yellows virus,Capsicum annuum,20
Beet western yellows virus,Capsicum annuum var. annuum,3
Beet western yellows virus,Cicer arietinum,4
Beet western yellows virus,Citrus medica,2
Beet western yellows virus,Coriandrum sativum,1
Beet western yellows virus,Crocus sativus,1
Beet western yellows virus,Cucurbita moschata,2
Beet western yellows virus,Cucurbita pepo,1
Beet western yellows virus,Humulus japonicus,1
Beet western yellows virus,Lactuca sativa,2
Beet western yellows virus,Leonurus sibiricus,1
Beet western yellows virus,Nepenthes mirabilis,3
Beet western yellows virus,Nicotiana tabacum,1
Beet western yellows virus,Pisum sativum,7
Beet western yellows virus,Raphanus sativus,1
Beet western yellows virus,Scrophularia buergeriana,1
Beet western yellows virus,Solanum lycopersicum,2
Beet western yellows virus,Spinacia oleracea,6
Beet western yellows virus,Vicia faba,1
Beet western yellows virus associated RNA,Apis mellifera,1
Beet western yellows virus associated RNA,Brassica napus,5
Beet western yellows virus associated RNA,Daucus carota,3
Beet western yellows virus associated RNA,Sinapis arvensis,1
Beet yellow stunt virus,Sonchus oleraceus,2
Beet yellows virus,Beta vulgaris,5
Beet yellows virus,Beta vulgaris subsp. vulgaris,9
Beet yellows virus,Chenopodium quinoa,1
Begomovirus caboniensis,Cnidoscolus urens,6
Begomovirus goianiensis,Cnidoscolus urens,1
Begomovirus isolate bean Iguala,Fabaceae,1
Begomovirus loofah/Khon Kaen2008/Feb2008,Luffa,1
Begomovirus mozlegume,Fabaceae,3
Begomovirus mozlegume,Glycine max,9
Begomovirus mozlegume,Vigna unguiculata,6
Begomovirus paulistiensis,Cnidoscolus urens,2
Begomovirus pumpkin/Suphan Buri/Mar2008,Cucurbita,1
Begomovirus pyrenacanthae,Pyrenacantha,3
Begomovirus sp.,Abelmoschus esculentus,9
Begomovirus sp.,Capsicum,2
Begomovirus sp.,Capsicum annuum,2
Begomovirus sp.,Carica papaya,1
Begomovirus sp.,Gossypium hirsutum,24
Begomovirus sp.,Ipomoea batatas,15
Begomovirus sp.,Spermatophyta,11
Begomovirus wax gourd/Suphan Buri2008/Feb2008,Benincasa hispida,1
Begomovirus-associated DNA beta sp.,Capsicum annuum,2
Begomovirus-associated DNA-II,Manihot esculenta,9
Begomovirus-associated DNA-III,Manihot esculenta,19
Begonia flower breaking virus,Begonia bowerae,3
Begonia flower breaking virus,Begonia odorata,1
Begonia flower breaking virus,Begonia x semperflorens-cultorum,1
Behai endorna-like virus 1,Oniscidea,1
Behevivirus limivivens,activated sludge metagenome,1
Behlfluvirus lutadaptatum,activated sludge metagenome,1
Beihai anemone virus 1,Actiniaria,2
Beihai astro-like virus,Penaeidae,2
Beihai barnacle virus 10,Thoracica,2
Beihai barnacle virus 11,Thoracica,4
Beihai barnacle virus 12,Thoracica,4
Beihai barnacle virus 13,Thoracica,4
Beihai barnacle virus 14,Thoracica,1
Beihai barnacle virus 15,Thoracica,2
Beihai barnacle virus 2,Thoracica,2
Beihai barnacle virus 3,Thoracica,2
Beihai barnacle virus 4,Thoracica,2
Beihai barnacle virus 5,Thoracica,1
Beihai barnacle virus 6,Thoracica,1
Beihai barnacle virus 7,Thoracica,2
Beihai barnacle viurs 1,Amphibalanus rhizophorae,2
Beihai berhavirus,Echinodermata,2
Beihai blue swimmer crab virus 1,Portunus pelagicus,2
Beihai blue swimmer crab virus 2,Portunus pelagicus,1
Beihai blue swimmer crab virus 3,Portunus pelagicus,2
Beihai bunya-like virus 1,Oniscidea,2
Beihai bunya-like virus 2,Ensis minor,2
Beihai bunya-like virus 3,Paphia,1
Beihai bunya-like virus 4,Murex trapa,1
Beihai bunya-like virus 5,Echinodermata,1
Beihai cephalopholis spiloparaea astrovirus,Cephalopholis spiloparaea,1
Beihai charybdis crab virus 1,Charybdis,2
Beihai conger calicivirus,Conger japonicus,1
Beihai conger picornavirus,Conger japonicus,1
Beihai crustavirus,Paguroidea,2
Beihai echinoderm virus 1,Echinodermata,2
Beihai fish astrovirus 1,Arnoglossus,1
Beihai fish astrovirus 1,Echelus uropterus,1
Beihai fish astrovirus 1,Hyporhamphus sajori,1
Beihai fish astrovirus 1,Sardinella lemuru,1
Beihai goldsaddle goatfish picobirnavirus,Parupeneus cyclostomus,1
Beihai hepe-like virus 1,Octopus,1
Beihai hepe-like virus 10,Octopus,2
Beihai hepe-like virus 11,Thoracica,1
Beihai hepe-like virus 2,Ligia exotica,1
Beihai hepe-like virus 4,Octopus,3
Beihai hepe-like virus 4,Portunus pelagicus,1
Beihai hepe-like virus 7,Penaeidae,1
Beihai hepe-like virus 8,Octopus,2
Beihai hepe-like virus 9,Merostomata,2
Beihai hermit crab virus 1,Oniscidea,1
Beihai hermit crab virus 1,Paguroidea,1
Beihai hermit crab virus 1,Penaeidae,3
Beihai hermit crab virus 1,Sesarmidae,1
Beihai hermit crab virus 2,Paguroidea,3
Beihai horseshoe crab virus 1,Merostomata,4
Beihai levi-like virus 1,Oniscidea,1
Beihai levi-like virus 10,Oniscidea,1
Beihai levi-like virus 11,Thoracica,1
Beihai levi-like virus 12,Orithyia sinica,1
Beihai levi-like virus 13,Oniscidea,1
Beihai levi-like virus 14,Charybdis,1
Beihai levi-like virus 15,Merostomata,1
Beihai levi-like virus 16,Echinodermata,1
Beihai levi-like virus 17,Thoracica,1
Beihai levi-like virus 18,Penaeidae,1
Beihai levi-like virus 19,Penaeidae,1
Beihai levi-like virus 2,Oniscidea,1
Beihai levi-like virus 20,Paguroidea,1
Beihai levi-like virus 21,Octopus,1
Beihai levi-like virus 22,Paguroidea,1
Beihai levi-like virus 22,Thoracica,1
Beihai levi-like virus 23,Echinodermata,1
Beihai levi-like virus 24,Oniscidea,1
Beihai levi-like virus 25,Nereididae,1
Beihai levi-like virus 26,Merostomata,1
Beihai levi-like virus 27,Thoracica,1
Beihai levi-like virus 28,Stomatopoda,1
Beihai levi-like virus 29,Octopus,1
Beihai levi-like virus 3,Oniscidea,1
Beihai levi-like virus 30,Merostomata,1
Beihai levi-like virus 32,Nereididae,1
Beihai levi-like virus 33,Merostomata,1
Beihai levi-like virus 34,Penaeidae,1
Beihai levi-like virus 35,Charybdis,1
Beihai levi-like virus 4,Oniscidea,1
Beihai levi-like virus 5,Oniscidea,1
Beihai levi-like virus 6,Oniscidea,1
Beihai levi-like virus 7,Echinodermata,1
Beihai levi-like virus 8,Oniscidea,1
Beihai levi-like virus 9,Oniscidea,1
Beihai mantis shrimp virus 1,Stomatopoda,2
Beihai mantis shrimp virus 2,Stomatopoda,2
Beihai mantis shrimp virus 3,Stomatopoda,2
Beihai mantis shrimp virus 4,Stomatopoda,2
Beihai mantis shrimp virus 5,Stomatopoda,2
Beihai mantis shrimp virus 6,Stomatopoda,4
Beihai mollusks virus 1,Actiniaria,1
Beihai mollusks virus 1,Gastropoda,2
Beihai mollusks virus 1,Octopus,1
Beihai mollusks virus 1,Paphia,1
Beihai mollusks virus 1,Portunus pelagicus,1
Beihai mollusks virus 1,Sipuncula,1
Beihai mollusks virus 1,Stomatopoda,1
Beihai mollusks virus 2,Ensis minor,1
Beihai mollusks virus 2,Gastropoda,2
Beihai mollusks virus 2,Octopus,1
Beihai mudskipper astro-like virus,Boleophthalmus pectinirostris,1
Beihai narna-like virus 1,Paphia,2
Beihai narna-like virus 10,Octopus,2
Beihai narna-like virus 11,Paphia,2
Beihai narna-like virus 12,Ensis minor,2
Beihai narna-like virus 13,Penaeidae,2
Beihai narna-like virus 14,Echinodermata,2
Beihai narna-like virus 15,Ligia exotica,2
Beihai narna-like virus 16,Echinodermata,2
Beihai narna-like virus 17,Sesarmidae,2
Beihai narna-like virus 18,Merostomata,2
Beihai narna-like virus 19,Sipuncula,2
Beihai narna-like virus 2,Octopus,2
Beihai narna-like virus 20,Paphia,2
Beihai narna-like virus 21,Sesarmidae,2
Beihai narna-like virus 22,Penaeidae,2
Beihai narna-like virus 23,Octopus,2
Beihai narna-like virus 24,Stomatopoda,2
Beihai narna-like virus 25,Paguroidea,1
Beihai narna-like virus 26,Tunicata,2
Beihai narna-like virus 3,Penaeidae,2
Beihai narna-like virus 4,Octopus,2
Beihai narna-like virus 5,Sipuncula,1
Beihai narna-like virus 6,Ensis minor,2
Beihai narna-like virus 7,Ensis minor,1
Beihai narna-like virus 8,Octopus,2
Beihai narna-like virus 9,Merostomata,2
Beihai noda-like virus 1,Ensis minor,1
Beihai noda-like virus 10,Orithyia sinica,1
Beihai noda-like virus 11,Paguroidea,4
Beihai noda-like virus 12,Octopus,1
Beihai noda-like virus 13,Merostomata,1
Beihai noda-like virus 14,Actiniaria,1
Beihai noda-like virus 15,Octopus,1
Beihai noda-like virus 16,Merostomata,1
Beihai noda-like virus 17,Actiniaria,1
Beihai noda-like virus 17,Stomatopoda,1
Beihai noda-like virus 18,Portunus pelagicus,2
Beihai noda-like virus 19,Octopus,1
Beihai noda-like virus 2,Octopus,1
Beihai noda-like virus 20,Octopus,1
Beihai noda-like virus 21,Paphia,1
Beihai noda-like virus 22,Paphia,1
Beihai noda-like virus 23,Actiniaria,1
Beihai noda-like virus 24,Penaeidae,1
Beihai noda-like virus 25,Penaeidae,1
Beihai noda-like virus 26,Penaeidae,2
Beihai noda-like virus 27,Actiniaria,1
Beihai noda-like virus 28,Penaeidae,2
Beihai noda-like virus 29,Penaeidae,3
Beihai noda-like virus 3,Octopus,1
Beihai noda-like virus 30,Paguroidea,1
Beihai noda-like virus 4,Sipuncula,1
Beihai noda-like virus 5,Ensis minor,1
Beihai noda-like virus 5,Merostomata,2
Beihai noda-like virus 6,Penaeidae,1
Beihai noda-like virus 7,Penaeidae,1
Beihai noda-like virus 8,Penaeidae,1
Beihai noda-like virus 9,Ensis minor,1
Beihai octopus virus 1,Octopus,2
Beihai octopus virus 2,Octopus,2
Beihai orthomyxo-like virus 1,Oniscidea,5
Beihai orthomyxo-like virus 2,Tunicata,1
Beihai paphia shell virus 1,Octopus,2
Beihai paphia shell virus 1,Paphia,1
Beihai paphia shell virus 2,Paphia,1
Beihai paphia shell virus 2,Portunus pelagicus,2
Beihai paphia shell virus 3,Paphia,2
Beihai paphia shell virus 4,Paphia,2
Beihai paphia shell virus 5,Paphia,1
Beihai partiti-like virus 1,Oniscidea,1
Beihai partiti-like virus 10,Portunus pelagicus,1
Beihai partiti-like virus 11,Penaeidae,2
Beihai partiti-like virus 2,Octopus,4
Beihai partiti-like virus 3,Actiniaria,1
Beihai partiti-like virus 4,Portunus pelagicus,1
Beihai partiti-like virus 5,Portunus pelagicus,1
Beihai partiti-like virus 6,Octopus,1
Beihai partiti-like virus 7,Merostomata,1
Beihai partiti-like virus 8,Orithyia sinica,1
Beihai partiti-like virus 9,Stomatopoda,1
Beihai pentapodus picornavirus,Pentapodus,1
Beihai permutotetra-like virus 1,Sesarmidae,1
Beihai permutotetra-like virus 2,Merostomata,2
Beihai peropuvirus,Oniscidea,2
Beihai picobirna-like virus 1,Paguroidea,1
Beihai picobirna-like virus 10,Ensis minor,1
Beihai picobirna-like virus 11,Paphia,1
Beihai picobirna-like virus 12,Ensis minor,1
Beihai picobirna-like virus 13,Octopus,1
Beihai picobirna-like virus 2,Paguroidea,1
Beihai picobirna-like virus 3,Thoracica,1
Beihai picobirna-like virus 4,Paguroidea,1
Beihai picobirna-like virus 5,Paguroidea,1
Beihai picobirna-like virus 6,Paguroidea,1
Beihai picobirna-like virus 7,Ensis minor,1
Beihai picobirna-like virus 7,Paguroidea,1
Beihai picobirna-like virus 7,Penaeidae,2
Beihai picobirna-like virus 7,Sipuncula,4
Beihai picobirna-like virus 8,Ensis minor,1
Beihai picobirna-like virus 8,Sipuncula,4
Beihai picobirna-like virus 9,Ensis minor,1
Beihai picorna-like virus 1,Ensis minor,2
Beihai picorna-like virus 1,Oniscidea,1
Beihai picorna-like virus 1,Paguroidea,1
Beihai picorna-like virus 1,Penaeidae,1
Beihai picorna-like virus 1,Sesarmidae,1
Beihai picorna-like virus 1,Sipuncula,1
Beihai picorna-like virus 100,Sipuncula,2
Beihai picorna-like virus 101,Penaeidae,2
Beihai picorna-like virus 102,Ensis minor,2
Beihai picorna-like virus 103,Bivalvia,2
Beihai picorna-like virus 104,Ensis minor,2
Beihai picorna-like virus 105,Murex trapa,2
Beihai picorna-like virus 106,Octopus,2
Beihai picorna-like virus 107,Octopus,2
Beihai picorna-like virus 108,Thoracica,2
Beihai picorna-like virus 109,Portunus pelagicus,1
Beihai picorna-like virus 11,Octopus,2
Beihai picorna-like virus 110,Stomatopoda,2
Beihai picorna-like virus 111,Bivalvia,2
Beihai picorna-like virus 111,Ensis minor,1
Beihai picorna-like virus 111,Sipuncula,1
Beihai picorna-like virus 112,Stomatopoda,2
Beihai picorna-like virus 113,Stomatopoda,2
Beihai picorna-like virus 114,Octopus,2
Beihai picorna-like virus 115,Actiniaria,2
Beihai picorna-like virus 116,Portunus pelagicus,2
Beihai picorna-like virus 117,Echinodermata,2
Beihai picorna-like virus 117,Tunicata,1
Beihai picorna-like virus 118,Actiniaria,2
Beihai picorna-like virus 119,Echinodermata,2
Beihai picorna-like virus 120,Nereididae,2
Beihai picorna-like virus 121,Ligia exotica,2
Beihai picorna-like virus 122,Octopus,2
Beihai picorna-like virus 123,Murex trapa,2
Beihai picorna-like virus 124,Penaeidae,2
Beihai picorna-like virus 125,Octopus,2
Beihai picorna-like virus 13,Ensis minor,1
Beihai picorna-like virus 14,Actiniaria,2
Beihai picorna-like virus 15,Charybdis,1
Beihai picorna-like virus 15,Ensis minor,1
Beihai picorna-like virus 15,Murex trapa,1
Beihai picorna-like virus 15,Octopus,2
Beihai picorna-like virus 15,Oniscidea,1
Beihai picorna-like virus 15,Orithyia sinica,1
Beihai picorna-like virus 15,Paguroidea,1
Beihai picorna-like virus 15,Paphia,1
Beihai picorna-like virus 15,Penaeidae,2
Beihai picorna-like virus 15,Portunus pelagicus,1
Beihai picorna-like virus 15,Sipuncula,1
Beihai picorna-like virus 15,Stomatopoda,1
Beihai picorna-like virus 15,Turritellidae,1
Beihai picorna-like virus 16,Actiniaria,2
Beihai picorna-like virus 16,Bivalvia,1
Beihai picorna-like virus 16,Paguroidea,1
Beihai picorna-like virus 17,Octopus,2
Beihai picorna-like virus 18,Nereididae,2
Beihai picorna-like virus 19,Paguroidea,2
Beihai picorna-like virus 2,Actiniaria,1
Beihai picorna-like virus 2,Ensis minor,1
Beihai picorna-like virus 2,Octopus,1
Beihai picorna-like virus 2,Orithyia sinica,1
Beihai picorna-like virus 2,Paguroidea,1
Beihai picorna-like virus 2,Penaeidae,2
Beihai picorna-like virus 2,Sipuncula,2
Beihai picorna-like virus 2,Turritellidae,1
Beihai picorna-like virus 20,Paguroidea,2
Beihai picorna-like virus 21,Octopus,2
Beihai picorna-like virus 22,Merostomata,1
Beihai picorna-like virus 23,Octopus,1
Beihai picorna-like virus 23,Paphia,1
Beihai picorna-like virus 23,Portunus pelagicus,2
Beihai picorna-like virus 24,Octopus,2
Beihai picorna-like virus 25,Paguroidea,1
Beihai picorna-like virus 26,Turritellidae,2
Beihai picorna-like virus 27,Sipuncula,2
Beihai picorna-like virus 28,Octopus,2
Beihai picorna-like virus 29,Merostomata,1
Beihai picorna-like virus 30,Sipuncula,2
Beihai picorna-like virus 31,Ensis minor,1
Beihai picorna-like virus 32,Ensis minor,1
Beihai picorna-like virus 32,Sipuncula,2
Beihai picorna-like virus 33,Paphia,2
Beihai picorna-like virus 34,Merostomata,1
Beihai picorna-like virus 35,Actiniaria,1
Beihai picorna-like virus 35,Ensis minor,2
Beihai picorna-like virus 35,Oniscidea,1
Beihai picorna-like virus 35,Orithyia sinica,1
Beihai picorna-like virus 35,Paguroidea,1
Beihai picorna-like virus 35,Penaeidae,2
Beihai picorna-like virus 35,Portunus pelagicus,1
Beihai picorna-like virus 35,Sesarmidae,1
Beihai picorna-like virus 35,Sipuncula,1
Beihai picorna-like virus 35,Stomatopoda,1
Beihai picorna-like virus 35,Thoracica,1
Beihai picorna-like virus 35,Turritellidae,1
Beihai picorna-like virus 36,Paguroidea,1
Beihai picorna-like virus 37,Penaeidae,1
Beihai picorna-like virus 38,Ensis minor,1
Beihai picorna-like virus 39,Nereididae,2
Beihai picorna-like virus 4,Octopus,2
Beihai picorna-like virus 40,Sipuncula,2
Beihai picorna-like virus 41,Paguroidea,2
Beihai picorna-like virus 42,Sesarmidae,2
Beihai picorna-like virus 43,Paguroidea,1
Beihai picorna-like virus 43,Penaeidae,2
Beihai picorna-like virus 43,Sesarmidae,1
Beihai picorna-like virus 43,Sipuncula,2
Beihai picorna-like virus 44,Stomatopoda,2
Beihai picorna-like virus 45,Ensis minor,2
Beihai picorna-like virus 46,Ensis minor,2
Beihai picorna-like virus 47,Sesarmidae,2
Beihai picorna-like virus 48,Ensis minor,2
Beihai picorna-like virus 49,Ensis minor,2
Beihai picorna-like virus 5,Sipuncula,2
Beihai picorna-like virus 50,Bivalvia,1
Beihai picorna-like virus 50,Ensis minor,2
Beihai picorna-like virus 51,Sesarmidae,2
Beihai picorna-like virus 52,Sipuncula,2
Beihai picorna-like virus 53,Sipuncula,2
Beihai picorna-like virus 54,Sipuncula,2
Beihai picorna-like virus 55,Bivalvia,2
Beihai picorna-like virus 55,Ensis minor,1
Beihai picorna-like virus 56,Paphia,2
Beihai picorna-like virus 57,Echinodermata,1
Beihai picorna-like virus 57,Tunicata,2
Beihai picorna-like virus 58,Bivalvia,2
Beihai picorna-like virus 59,Bivalvia,2
Beihai picorna-like virus 59,Ensis minor,1
Beihai picorna-like virus 6,Ensis minor,1
Beihai picorna-like virus 6,Sipuncula,2
Beihai picorna-like virus 60,Bivalvia,2
Beihai picorna-like virus 61,Bivalvia,2
Beihai picorna-like virus 62,Bivalvia,2
Beihai picorna-like virus 63,Oniscidea,2
Beihai picorna-like virus 64,Echinodermata,2
Beihai picorna-like virus 64,Tunicata,1
Beihai picorna-like virus 65,Octopus,2
Beihai picorna-like virus 66,Tunicata,2
Beihai picorna-like virus 67,Octopus,2
Beihai picorna-like virus 68,Merostomata,2
Beihai picorna-like virus 69,Merostomata,2
Beihai picorna-like virus 7,Sipuncula,2
Beihai picorna-like virus 70,Actiniaria,1
Beihai picorna-like virus 70,Bivalvia,1
Beihai picorna-like virus 70,Caridea,1
Beihai picorna-like virus 70,Paguroidea,2
Beihai picorna-like virus 70,Penaeidae,1
Beihai picorna-like virus 71,Stomatopoda,2
Beihai picorna-like virus 72,Actiniaria,2
Beihai picorna-like virus 72,Paguroidea,1
Beihai picorna-like virus 73,Actiniaria,1
Beihai picorna-like virus 73,Paguroidea,1
Beihai picorna-like virus 73,Thoracica,2
Beihai picorna-like virus 74,Actiniaria,2
Beihai picorna-like virus 74,Sesarmidae,1
Beihai picorna-like virus 75,Echinodermata,2
Beihai picorna-like virus 76,Merostomata,1
Beihai picorna-like virus 77,Bivalvia,2
Beihai picorna-like virus 77,Culex pipiens,1
Beihai picorna-like virus 77,Curculio bimaculatus,1
Beihai picorna-like virus 77,Cyperus difformis,1
Beihai picorna-like virus 77,Ischnura senegalensis,1
Beihai picorna-like virus 77,Leersia hexandra,1
Beihai picorna-like virus 77,Merodon fulcratus,1
Beihai picorna-like virus 77,Naranga aenescens,1
Beihai picorna-like virus 77,Ochthera mantis,1
Beihai picorna-like virus 77,Orius niger,1
Beihai picorna-like virus 77,Orius sauteri,1
Beihai picorna-like virus 77,Paederus fuscipes,1
Beihai picorna-like virus 77,Tetragnatha nitens,1
Beihai picorna-like virus 78,Bivalvia,1
Beihai picorna-like virus 79,Penaeidae,2
Beihai picorna-like virus 8,Sipuncula,2
Beihai picorna-like virus 80,Bivalvia,1
Beihai picorna-like virus 80,Ensis minor,2
Beihai picorna-like virus 81,Merostomata,2
Beihai picorna-like virus 82,Portunus pelagicus,2
Beihai picorna-like virus 83,Penaeidae,2
Beihai picorna-like virus 84,Cirripedia,2
Beihai picorna-like virus 85,Actiniaria,2
Beihai picorna-like virus 87,Paguroidea,2
Beihai picorna-like virus 88,Penaeidae,1
Beihai picorna-like virus 9,Penaeidae,2
Beihai picorna-like virus 90,Penaeidae,2
Beihai picorna-like virus 91,Paguroidea,2
Beihai picorna-like virus 91,Sesarmidae,1
Beihai picorna-like virus 93,Penaeidae,2
Beihai picorna-like virus 95,Penaeidae,1
Beihai picorna-like virus 96,Merostomata,2
Beihai picorna-like virus 97,Ensis minor,1
Beihai picorna-like virus 98,Orithyia sinica,1
Beihai picorna-like virus 99,Paguroidea,2
Beihai rabbitfish calicivirus 1,Siganus canaliculatus,1
Beihai rabbitfish calicivirus 2,Siganus canaliculatus,1
Beihai razor shell virus 1,Bivalvia,1
Beihai razor shell virus 1,Ensis minor,2
Beihai razor shell virus 1,Penaeidae,1
Beihai razor shell virus 2,Bivalvia,2
Beihai razor shell virus 2,Ensis minor,1
Beihai razor shell virus 3,Ensis minor,2
Beihai razor shell virus 4,Ensis minor,2
Beihai reo-like virus 1,Stomatopoda,1
Beihai reo-like virus 2,Penaeidae,1
Beihai sea slater virus 1,Ligia exotica,2
Beihai sea slater virus 2,Ligia exotica,2
Beihai sea slater virus 3,Ligia exotica,2
Beihai sea slater virus 4,Ligia exotica,2
Beihai sesarmid crab virus 1,Sesarmidae,2
Beihai sesarmid crab virus 2,Sesarmidae,2
Beihai sesarmid crab virus 5,Sesarmidae,1
Beihai sesarmid crab virus 7,Sesarmidae,2
Beihai shrimp virus 1,Penaeidae,2
Beihai shrimp virus 2,Penaeidae,3
Beihai shrimp virus 3,Penaeidae,9
Beihai shrimp virus 4,Penaeidae,2
Beihai shrimp virus 5,Penaeidae,6
Beihai shrimp virus 6,Penaeidae,6
Beihai sipunculid worm virus 1,Sipuncula,2
Beihai sipunculid worm virus 2,Sipuncula,2
