Species,Host,Count
Desmodium leaf distortion virus,Desmodium glabrum,13
Desmodium mosaic virus,Desmodium scorpiurus,7
Desmodium mottle virus,Desmodium,24
Desmodium potyvirus,Desmodium,2
Desmodium yellow spot virus,Desmodium scorpiurus,7
Desmodus rotundus Adenovirus 1,Desmodus rotundus,9
Desmodus rotundus Adenovirus 2,Desmodus rotundus,5
Desmodus rotundus adenovirus POA/2012/N5.1,Desmodus rotundus,1
Desmodus rotundus betaherpesvirus,Desmodus rotundus,14
Desmodus rotundus circovirus 1,Desmodus rotundus,1
Desmodus rotundus dependoparvovirus,Desmodus rotundus,2
Desmodus rotundus endogenous retrovirus,Desmodus rotundus,12
Desmodus rotundus gammaherpesvirus,Desmodus rotundus,2
Desmodus rotundus gammaherpesvirus 1,Desmodus rotundus,2
Desmodus rotundus gammaherpesvirus 2,Desmodus rotundus,1
Desmodus rotundus gammaherpesvirus 3,Desmodus rotundus,2
Desmodus rotundus gammaherpesvirus A,Desmodus rotundus,5
Desmodus rotundus gammaherpesvirus B,Desmodus rotundus,3
Desmodus rotundus gammaherpesvirus C,Desmodus rotundus,1
Desmodus rotundus parvovirus,Desmodus rotundus,4
Desmodus rotundus polyomavirus 1,Desmodus rotundus,10
Despoena mito-like virus,Rhodella violacea,1
Desulfofustis phage LS06-2018-MD02,Desulfofustis,78
Desulfovibrio phage ProddE,Desulfovibrio desulfuricans,48
Dewindti cichlid hepacivirus,Aulonocranus dewindti,2
Dezidougou virus,Aedes aegypti,3
Dezidougou virus,Aedes africanus,3
Dezidougou virus,Culex pipiens,1
Dezidougou virus,Ochlerotatus communis,3
Dhati Welel mammarenavirus,Mastomys awashensis,2
Dhati Welel mammarenavirus,Mastomys natalensis,14
Dhori thogotovirus,Homo sapiens,5
Diabrotica toursvirus 3a,Diabrotica barberi,120
Diabrotica undecimpunctata virus 1,Diabrotica undecimpunctata,1
Diabrotica undecimpunctata virus 2,Diabrotica undecimpunctata,2
Diabrotica virgifera virgifera virus 1,Diabrotica virgifera virgifera,1
Diabrotica virgifera virgifera virus 2,Diabrotica virgifera virgifera,2
Diabrotica virgifera virgifera virus 3,Diabrotica virgifera virgifera,4
Diachasmimorpha entomopoxvirus,Diachasmimorpha longicaudata,213
Diachasmimorpha longicaudata rhabdovirus,Diachasmimorpha longicaudata,12
Diadegma fenestrale ichnovirus,Diadegma fenestrale,145
Diadegma fenestrale ichnovirus,Phthorimaea operculella,1
Diadegma semiclausum ichnovirus,Diadegma semiclausum,106
Diadromus pulchellus toursvirus,Diadromus pulchellus,51
Diaemus bat paramyxovirus,Diaemus youngi,18
Diaemus youngi gammaherpesvirus 1,Diaemus youngi,2
Diaemus youngi gammaherpesvirus A,Diaemus youngi,1
Diamondback moth iflavirus,Plutella xylostella,3
Diaphania pulverulentalis nucleopolyhedrovirus,Glyphodes pulverulentalis,1
Diaphorina citri associated C virus,Diaphorina citri,7
Diaphorina citri bunyavirus,Diaphorina citri,3
Diaphorina citri cimodo-like virus,Diaphorina citri,10
Diaphorina citri flavi-like virus,Diaphorina citri,2
Diaphorina citri reovirus,Diaphorina citri,27
Diaporthe ambigua RNA virus 1,Diaporthe ambigua,2
Diaporthe pseudophoenicicola DNA virus 1,Diaporthe pseudophoenicicola,2
Diaporthe pseudophoenicicola chrysovirus 1,Diaporthe pseudophoenicicola,9
Diaporthe rudis mitovirus 1,Diaporthe rudis,1
Diascia yellow mottle virus,Diascia,6
Diascia yellow mottle virus,Verbena,3
Diatraea saccharalis densovirus,Diatraea saccharalis,18
Diatraea saccharalis granulovirus,Diatraea saccharalis,250
Dibaevirus borborocola,activated sludge metagenome,3
Dicentrarchus labrax encephalitis virus,Acanthurus triostegus,1
Dicentrarchus labrax encephalitis virus,Argyrosomus regius,3
Dicentrarchus labrax encephalitis virus,Dicentrarchus labrax,32
Dicentrarchus labrax encephalitis virus,Epinephelus malabaricus,1
Dicentrarchus labrax encephalitis virus,Lates calcarifer,1
Dicentrarchus labrax encephalitis virus,Oplegnathus punctatus,1
Dicentrarchus labrax encephalitis virus,Pristiapogon exostigma,1
Dicentrarchus labrax encephalitis virus,Pseudocaranx dentex,1
Dicentrarchus labrax encephalitis virus,Sparus aurata,1
Dicentrarchus labrax encephalitis virus,Umbrina cirrosa,1
Dichelobacter phage DinoHI,Dichelobacter,1
Dichorhavirus orchidaceae,Alcea rosea,6
Dichorhavirus orchidaceae,Oncidium,5
Dichorhavirus orchidaceae,Pandanus amaryllifolius,6
Dicistroviridae sp.,Haemaphysalis longicornis,5
Dicistroviridae sp. 1,Anoplolepis gracilipes,3
Dicistroviridae sp. 2,Anoplolepis gracilipes,1
Dicistroviridae sp. 3,Anoplolepis gracilipes,2
Dicistroviridae sp. 4,Anoplolepis gracilipes,1
Dickeya phage Amaethon,Dickeya dadantii,49
Dickeya phage Coodle,Dickeya solani,201
Dickeya phage Dagda_B1,Dickeya solani,53
Dickeya phage DchS19,Dickeya chrysanthemi,49
Dickeya phage Ds16CZ,Dickeya solani,202
Dickeya phage Ds20CZ,Dickeya solani,204
Dickeya phage Ds23CZ,Dickeya solani,194
Dickeya phage Ds25CZ,Dickeya solani,198
Dickeya phage Ds3CZ,Dickeya solani,206
Dickeya phage Ds5CZ,Dickeya solani,204
Dickeya phage Ds9CZ,Dickeya solani,203
Dickeya phage JA15,Dickeya solani,199
Dickeya phage Kamild,Dickeya solani,202
Dickeya phage PP35,Dickeya solani,198
Dickeya phage Sucellus,Dickeya dadantii,55
Dickeya phage XF4,Dickeya solani,196
Dickeya phage phiDP10.3,Pectobacterium,259
Dickeya phage phiDP23.1,Pectobacterium,265
Dickeya phage vB_DsoM_JA13,Dickeya solani MK10,323
Dickeya phage vB_DsoM_JA33,Dickeya solani MK10,321
Dickeya virus AD1,Dickeya solani MK10,660
Dickeya virus BF25-12,Dickeya fangzhongdai,102
Dickeya virus Dagda,Dickeya solani,106
Dickeya virus JA10,Dickeya solani MK10,100
Dickeya virus JA11,Dickeya solani,642
Dickeya virus JA29,Dickeya solani MK10,636
Dickeya virus Katbat,Dickeya solani,104
Dickeya virus Limestone,Dickeya solani,402
Dickeya virus Limestone,Pectobacterium,190
Dickeya virus Luksen,Dickeya solani,106
Dickeya virus Mysterion,Dickeya solani,106
Dickeya virus Ninurta,Dickeya solani,92
Dickeya virus RC2014,Dickeya sp.,392
Dicliptera yellow mottle virus,Dicliptera vahliana,4
Didemnum sp. Sea Squirt associated virus,Didemnum sp.,6
Didymoteicho chaq virus,Coquillettidia richiardii,1
Digera arvensis yellow vein betasatellite,Chenopodium album,1
Digera arvensis yellow vein betasatellite,Digera muricata,3
Digera arvensis yellow vein betasatellite,Petunia,1
Digitaria ciliaris striate mosaic virus,Digitaria ciliaris,20
Digitaria didactyla striate mosaic virus,Digitaria didactyla,8
Digitaria streak virus,Digitaria setigera,663
Dikerogammarus haemobaphes bi-facies-like virus,Dikerogammarus haemobaphes,1
Dikerogammarus haemobaphes nudivirus,Dikerogammarus haemobaphes,106
Dikerogammarus haemobaphes virus 1,Dikerogammarus haemobaphes,57
Diktys durna-like virus 1,Prorocentrum lima,1
Dill cryptic virus 1,Anethum graveolens,4
Dill cryptic virus 2,Anethum graveolens,4
Dillard sunrhavirus,Culex tarsalis,5
Dilzevirus borborohabitans,activated sludge metagenome,3
Dinocampus coccinellae paralysis virus,Dinocampus coccinellae,2
Dinoroseobacter phage vBDshPR2C,Dinoroseobacter shibae,85
Dinoroseobacter phage vB_DshP-R7L,Dinoroseobacter shibae,83
Dinoroseobacter phage vB_DshS-R4C,Dinoroseobacter shibae,49
Dinoroseobacter virus D5C,Dinoroseobacter shibae,246
Dinoroseobacter virus DFL12,Dinoroseobacter shibae,172
Dinoroseobacter virus DS1410Ws06,Dinoroseobacter shibae,154
Diodia vein chlorosis virus,Diodia,20
Diolcogaster facetosa bracovirus,Glyptapanteles flavicoxis,46
Dione juno MNPV tmk1/ARG/2003,Dione juno,6
Dione juno MNPV tmk1/ARG/2003,Dione vanillae,3
Dione juno nucleopolyhedrovirus,Dione juno,153
Dioscorea bacilliform AL virus,Dioscorea alata,12
Dioscorea bacilliform AL virus,Dioscorea bulbifera,9
Dioscorea bacilliform AL virus,Dioscorea cayenensis,48
Dioscorea bacilliform AL virus,Dioscorea cayenensis subsp. rotundata,6
Dioscorea bacilliform AL virus,Dioscorea esculenta,12
Dioscorea bacilliform AL virus,Dioscorea transversa,3
Dioscorea bacilliform AL virus,Dioscorea trifida,3
Dioscorea bacilliform AL virus 2,Dioscorea alata,30
Dioscorea bacilliform RT virus 1,Dioscorea cayenensis subsp. rotundata,6
Dioscorea bacilliform RT virus 2,Dioscorea cayenensis subsp. rotundata,10
Dioscorea bacilliform SN virus,Dioscorea bulbifera,1
Dioscorea bacilliform SN virus,Dioscorea sansibarensis,3
Dioscorea bacilliform TR virus,Dioscorea trifida,6
Dioscorea bacilliform virus,Dioscorea,5
Dioscorea bacilliform virus,Dioscorea alata,51
Dioscorea bacilliform virus,Dioscorea bulbifera,3
Dioscorea bacilliform virus,Dioscorea cayenensis,12
Dioscorea bacilliform virus,Dioscorea cayenensis subsp. rotundata,321
Dioscorea bacilliform virus,Dioscorea dumetorum,6
Dioscorea bacilliform virus,Dioscorea esculenta,25
Dioscorea bacilliform virus,Dioscorea japonica,3
Dioscorea bacilliform virus,Dioscorea nummularia,4
Dioscorea bacilliform virus,Dioscorea oppositifolia,8
Dioscorea bacilliform virus,Dioscorea pentaphylla,3
Dioscorea bacilliform virus,Dioscorea sansibarensis,8
Dioscorea bacilliform virus,Dioscorea trifida,44
Dioscorea badnavirus A,Dioscorea composita,3
Dioscorea bulbifera bacilliform virus,Dioscorea bulbifera,4
Dioscorea composita virus 1,Dioscorea composita,6
Dioscorea mosaic associated virus,Dioscorea cayenensis subsp. rotundata,48
Dioscorea mosaic associated virus,Dioscorea trifida,2
Dioscorea mosaic virus,Dioscorea bulbifera,2
Dioscorea nummularia associated virus,Dioscorea nummularia,8
Dioscorea potexvirus 1,Dioscorea zingiberensis,5
Dioscorea virus A,Dioscorea,5
Dioxys cincta mononega-like virus,Dioxys cincta,3
Diphylla ecaudata betaherpesvirus,Diphylla ecaudata,1
Diphylla ecaudata gammaherpesvirus,Diphylla ecaudata,3
Diplodia scrobiculata RNA virus 1,Diplodia scrobiculata,5
Diplodia seriata ambiguivirus 1,Diplodia seriata,2
Diplodia seriata botourmiavirus 1,Diplodia seriata,1
Diplodia seriata botourmiavirus 2,Diplodia seriata,1
Diplodia seriata chrysovirus 1,Diplodia seriata,4
Diplodia seriata endornavirus 1,Diplodia seriata,1
Diplodia seriata partitivirus 1,Diplodia seriata,2
Diplodia seriata polymycovirus 1,Diplodia seriata,4
Diplodia seriata splipalmivirus 1,Diplodia seriata,3
Diplodia seriata victorivirus 1,Diplodia seriata,2
Diplodus vulgaris betanodavirus,Diplodus vulgaris,2
Dipluran jingmen-related virus,Campodea silvestrii,1
Dipodfec virus NeonRodF1_112,Dipodomys merriami,2
Dipodfec virus NeonRodF1_131,Dipodomys merriami,2
Dipodfec virus NeonRodF1_132,Dipodomys merriami,2
Dipodfec virus UA04Rod_2041,Dipodomys merriami,5
Dipodfec virus UA04Rod_4537,Dipodomys merriami,2
Dipodfec virus UA04Rod_5684,Dipodomys merriami,2
Dipodfec virus UA04Rod_5913,Dipodomys merriami,2
Dipodfec virus UA06Rod_111,Dipodomys ordii,2
Dipodfec virus UA06Rod_119,Dipodomys ordii,2
Dipodfec virus UA06Rod_92,Dipodomys ordii,2
Dipodfec virus UA23Rod_1661,Dipodomys spectabilis,8
Dipodfec virus UA23Rod_1805,Dipodomys spectabilis,2
Dipodfec virus UA23Rod_4953,Dipodomys spectabilis,2
Dipodfec virus UA23Rod_5718,Dipodomys spectabilis,2
Dipodfec virus UA23Rod_6578,Dipodomys spectabilis,2
"Dipodillus herpesvirus SVMS 065,081",Dipodillus dasyurus,1
Diporeia sp. associated circular virus,Diporeia,21
Diporeia-associated CRESS-DNA virus LH481,Diporeia hoyi,2
Diporeia-associated CRESS-DNA virus LM122,Diporeia hoyi,2
Dipteran anphevirus,Diptera,8
Dipteran beidivirus,Diptera,6
Dipteran brevidensovirus 2,Aedes albopictus,6
Dipteran brevihamaparvovirus 1,Aedes,2
Dipteran brevihamaparvovirus 1,Aedes aegypti,12
Dipteran brevihamaparvovirus 1,Aedes albopictus,3
Dipteran brevihamaparvovirus 1,Anopheles gambiae,6
Dipteran brevihamaparvovirus 1,Anopheles sinensis,3
Dipteran brevihamaparvovirus 1,Culex,18
Dipteran brevihamaparvovirus 1,Culex pipiens pallens,12
Dipteran brevihamaparvovirus 1,Culex quinquefasciatus,6
Dipteran brevihamaparvovirus 1,Culex tritaeniorhynchus,9
Dipteran brevihamaparvovirus 1,Culicidae,6
Dipteran brevihamaparvovirus 2,Culex tritaeniorhynchus,3
Dipteran flavi-related virus,Anabarhynchus dentiphallus,1
Dipteran flavi-related virus,Meroplius fasciculatus,1
Dipteran flavi-related virus,Simulium meridionale,1
Dipteran hudivirus,Diptera,6
Dipteran jingmen-related virus,Clogmia albipunctata,6
Dipteran muscodensovirus 1,Haematobia irritans,4
Dipteran mypo-related virus OKIAV322,Heteropsilopus ingenuus,1
Dipteran orthomyxo-related virus OKIAV193,Trichocera saltator,4
Dipteran orthomyxo-related virus OKIAV195,Cuterebra austeni,4
Dipteran phasivirus,Diptera,6
Dipteran phasma-related virus OKIAV224,Eristalis pertinax,2
Dipteran phasma-related virus OKIAV225,Ferdinandea cuprea,2
Dipteran phenui-related virus OKIAV274,Bibio marci,2
Dipteran phenui-related virus OKIAV281,Trichocera saltator,1
Dipteran protoambidensovirus 1,Culex pipiens,366
Dipteran protoambidensovirus 1,Culex pipiens pipiens,8
Discula destructiva virus 1,Discula destructiva,4
Discula destructiva virus 2,Discula destructiva,4
Discula destructiva virus 3,Discula destructiva,1
Ditsystermes virus,Coptotermes acinaciformis,1
Ditton virus,Drosophila suzukii,1
Diuris pendunculata cryptic virus,Diuris pedunculata,2
Diuris virus A,Diuris pedunculata,9
Diuris virus B,Diuris pedunculata,9
Diuris virus Y,Diuris orientis,2
Diversispora mitovirus A,Diversispora versiformis,1
Diversispora mitovirus B,Diversispora versiformis,1
Diydovirus borborovicinum,activated sludge metagenome,4
Dnistrovskyi 408 orbivirus,Phalacrocorax,1
Dobrava-Belgrade orthohantavirus,Apodemus agrarius,169
Dobrava-Belgrade orthohantavirus,Apodemus flavicollis,211
Dobrava-Belgrade orthohantavirus,Apodemus ponticus,12
Dobrava-Belgrade orthohantavirus,Apodemus sylvaticus,8
Dobrava-Belgrade orthohantavirus,Glis glis,2
Dobrava-Belgrade orthohantavirus,Homo sapiens,182
Dobrava-Belgrade orthohantavirus,Meriones tamariscinus,1
Dobrava-Belgrade orthohantavirus,Microtus arvalis,7
Dobrava-Belgrade orthohantavirus,Mus musculus,3
Dobrava-Belgrade orthohantavirus,Myodes glareolus,2
Dobrava-Belgrade orthohantavirus,Rodentia,21
Dobrava-Belgrade orthohantavirus,Sorex araneus,2
Dobrovirus bufonis,Bufo gargarizans,1
Dobsonia moluccensis polyomavirus 1,Dobsonia moluccensis,8
Dobsonia moluccensis polyomavirus 2,Dobsonia moluccensis,8
Dobsonia moluccensis polyomavirus 3,Dobsonia moluccensis,8
Dode virus,Hipposideros pomona,3
Dog Tick rhabdovirus-1,Ixodes scapularis,5
Dog astrovirus,Canis lupus familiaris,1
Dog astrovirus,Homo sapiens,1
Dog feces bidnaparvovirus,Canis lupus familiaris,3
Dog torquevirus 15122,Canis lupus familiaris,1
Dog torquevirus 5,Canis lupus familiaris,1
Dog torquevirus 6108,Canis lupus familiaris,1
Dog torquevirus 9286,Canis lupus familiaris,1
Dohlivirus borborovivens,activated sludge metagenome,4
Dohnjavirus caenadaptatum,activated sludge metagenome,4
Dolichogenidae sp. bracovirus,Dolichogenidea,2
Dolichos yellow mosaic virus,Dolichos,36
Dolichos yellow mosaic virus,Lablab purpureus,66
Dolichos yellow mosaic virus,Vigna unguiculata,1
Dolphin gammaherpesvirus,Sotalia guianensis,1
Dolphin gammaherpesvirus,Stenella coeruleoalba,32
Dolphin mastadenovirus B,Tursiops truncatus,116
Dolphin papillomavirus SNU_DeCa_ PV_1,Delphinus capensis,1
Dolphin pegivirus,Tursiops truncatus,1
Dolphin rhabdovirus,Lagenorhynchus albirostris,10
Domestic cat hepatitis B virus,Felis catus,75
Domestic dog hepadnavirus,Canis lupus familiaris,4
Domestic donkey hepatitis B virus,Equus asinus,72
Domestica sigmavirus,Musca domestica,12
Dongbei arctic lamprey astrovirus 1,Lethenteron camtschaticum,2
Dongbei arctic lamprey astrovirus 2,Lethenteron camtschaticum,2
Dongbei arctic lamprey astrovirus 3,Lethenteron camtschaticum,2
Dongbei arctic lamprey astrovirus 4,Lethenteron camtschaticum,3
Dongbei arctic lamprey calicivirus 1,Lethenteron camtschaticum,4
Dongbei arctic lamprey calicivirus 2,Lethenteron camtschaticum,2
Dongbei arctic lamprey hepevirus,Lethenteron camtschaticum,2
Donggang virus,Aedes,19
Dongtou red stingray astrovirus,Hemitrygon akajei,2
Dongxihu virus,Bufo gargarizans,2
Dongyang pangolin virus,Amblyomma javanense,1
Dongyang pangolin virus,Manis javanica,1
Donkey kirkovirus,Equus asinus,4
Donkey kirkovirus Hetian-3,Equus asinus,1
Donkey kirkovirus Hetian-34,Equus asinus,1
Donkey kirkovirus Hetian-37,Equus asinus,1
Donkey kirkovirus Hetian-46,Equus asinus,6
Donkey kirkovirus Hetian-47,Equus asinus,1
Donkey kirkovirus Hetian-48,Equus asinus,6
Donkey kirkovirus Hetian-58,Equus asinus,6
Donkey kirkovirus Hetian-7,Equus asinus,1
Donkey orchid symptomless virus,Diuris longifolia,18
Donkey orchid symptomless virus,Drakaea elastica,7
Donkey orchid virus A,Diuris corymbosa,12
Dopasia gracilis ranavirus,Dopasia gracilis,5
Dorea phage DO134P1,Dorea,53
Douglas' Neckera Moss associated tymo-like virus,Neckera douglasii,4
Doupovirus australiaense,Culex pipiens,3
Dover sole betanodavirus V0039,Microstomus pacificus,1
Dracaena mottle virus,Dracaena sanderiana,14
Dragana partiti-like virus,Culex modestus,2
Dragonfly associated bovismacovirus 1,Erythrodiplax fusca,4
Dragonfly associated cyclovirus,Epiprocta,7
Dragonfly associated cyclovirus 1,Diplacodes bipunctata,16
Dragonfly associated cyclovirus 1,Pantala flavescens,22
Dragonfly associated cyclovirus 1,Tholymis tillarga,12
Dragonfly associated cyclovirus 2,Anax junius,2
Dragonfly associated cyclovirus 2,Pantala flavescens,4
Dragonfly associated cyclovirus 3,Erythemis simplicicollis,6
Dragonfly associated cyclovirus 4,Rhionaeschna multicolor,6
Dragonfly associated cyclovirus 4,Somatochlora meridionalis,2
Dragonfly associated cyclovirus 5,Erythrodiplax umbrata,6
Dragonfly associated cyclovirus 6,Rhionaeschna multicolor,4
Dragonfly associated cyclovirus 7,Xanthocnemis zealandica,4
Dragonfly associated cyclovirus 8,Orthetrum sabina,4
Dragonfly associated dragsmacovirus 1,Libellula quadrimaculata,4
Dragonfly circularisvirus,Pantala flavescens,4
Dragonfly cyclicusvirus,Pantala flavescens,4
Dragonfly larvae associated circular virus-1,Procordulia grayi,4
Dragonfly larvae associated circular virus-10,Echyridella menziesii,2
Dragonfly larvae associated circular virus-10,Potamopyrgus antipodarum,2
Dragonfly larvae associated circular virus-10,Procordulia grayi,2
Dragonfly larvae associated circular virus-10,Sphaerium novaezelandiae,2
Dragonfly larvae associated circular virus-10,Xanthocnemis zealandica,6
Dragonfly larvae associated circular virus-2,Procordulia grayi,4
Dragonfly larvae associated circular virus-3,Chironomus zealandicus,2
Dragonfly larvae associated circular virus-3,Echyridella menziesii,2
Dragonfly larvae associated circular virus-3,Potamopyrgus antipodarum,2
Dragonfly larvae associated circular virus-3,Procordulia grayi,8
Dragonfly larvae associated circular virus-4,Procordulia grayi,4
Dragonfly larvae associated circular virus-5,Chironomus zealandicus,2
Dragonfly larvae associated circular virus-5,Procordulia grayi,6
Dragonfly larvae associated circular virus-6,Echyridella menziesii,2
Dragonfly larvae associated circular virus-6,Procordulia grayi,4
Dragonfly larvae associated circular virus-7,Procordulia grayi,4
Dragonfly larvae associated circular virus-8,Procordulia grayi,4
Dragonfly larvae associated circular virus-9,Procordulia grayi,4
Dragonfly orbiculatusvirus,Diplacodes bipunctata,6
Dragonfly-associated microphage 1,Tramea lacerata,10
Drakaea virus A,Drakaea livida,12
Drake virus,Pygoscelis adeliae,1
Dralkin virus,Pygoscelis antarcticus,1
Drama totivirus,Ochlerotatus sticticus,2
Drechslerella stenobrocha partitivirus 1,Drechslerella stenobrocha,2
Dregea volubilis polerovirus 1,Dregea volubilis,6
Drellivirus 93C3,Cladocera,2
Driatsky virus,Pygoscelis papua,1
Drin virus,Phlebotomus neglectus,3
Dromedary astrovirus,Camelus dromedarius,20
Dromedary astrovirus,Sus scrofa domesticus,2
Dromedary camel coronavirus,Camelus,1
Dromedary picobirnavirus,Camelus dromedarius,62
Dromedary stool-associated circular ssDNA virus,Camelus bactrianus,22
Drop sclerotimonavirus,Sclerotinia sclerotiorum,10
Drosmacovirus bovas1,Bos taurus,4
Drosophila A virus,Drosophila,1
Drosophila A virus,Drosophila melanogaster,94
Drosophila A virus,Drosophila simulans,4
Drosophila C virus,Drosophila,2
Drosophila C virus,Drosophila americana,3
Drosophila C virus,Drosophila bipectinata,1
Drosophila C virus,Drosophila mauritiana,2
Drosophila C virus,Drosophila melanogaster,31
Drosophila C virus,Drosophila pseudoobscura,2
Drosophila C virus,Drosophila simulans,2
Drosophila C virus,Drosophila subobscura,3
Drosophila C virus,Drosophila virilis,1
Drosophila X virus,Drosophila melanogaster,3
Drosophila affinis sigmavirus,Drosophila affinis,13
Drosophila algonquin sigmavirus,Drosophila affinis,1
Drosophila ananassae sigmavirus,Drosophila ananassae,13
Drosophila busckii rhabdovirus,Drosophila busckii,6
Drosophila immigrans Nora virus,Diptera,4
Drosophila immigrans Nora virus,Drosophila immigrans,8
Drosophila immigrans sigmavirus,Diptera,12
Drosophila immigrans sigmavirus,Drosophila immigrans,181
Drosophila innubila nudivirus,Drosophila innubila,213
Drosophila kikkawai virus 1,Drosophila kikkawai,2
Drosophila melanogaster birnavirus SW-2009a,Drosophila melanogaster,3
Drosophila melanogaster nudivirus A,Drosophila,2
Drosophila melanogaster nudivirus A,Drosophila melanogaster,225
Drosophila melanogaster nudivirus A,Drosophila simulans,4
Drosophila melanogaster nudivirus A,Insecta,90
Drosophila melanogaster nudivirus B,Drosophila melanogaster,186
Drosophila melanogaster nudivirus C,Drosophila melanogaster,174
Drosophila melanogaster nudivirus D,Drosophila melanogaster,93
Drosophila melanogaster sigmavirus,Drosophila melanogaster,774
Drosophila melanogaster tetravirus SW-2009a,Drosophila melanogaster,1
Drosophila melanogaster totivirus SW-2009a,Drosophila melanogaster,4
Drosophila montana sigmavirus,Drosophila montana,1
Drosophila nudivirus RLU-2011,Drosophila,2
Drosophila nudivirus RLU-2011,Drosophila falleni,8
Drosophila nudivirus RLU-2011,Drosophila innubila,17
Drosophila nudivirus RLU-2011,Drosophila munda,2
Drosophila nudivirus RLU-2011,Drosophila neotestacea,6
Drosophila nudivirus RLU-2011,Drosophila pseudoobscura,2
Drosophila nudivirus RLU-2011,Drosophila simulans,2
Drosophila nudivirus RLU-2011,Drosophila tenebrosa,2
Drosophila obscura sigmavirus,Drosophila obscura,218
Drosophila reovirus,Drosophila melanogaster,1
Drosophila sturtevanti rhabdovirus 1,Drosophila sturtevanti,1
Drosophila subobscura Nora virus,Drosophila subobscura,8
Drosophila subobscura rhabdovirus,Drosophila subobscura,1
Drosophila tristis sigmavirus,Drosophila tristis,3
Drosophila virus JTM-2015,Drosophila melanogaster,1
Drosophila-associated adintovirus 1,Drosophilidae,12
Drosophila-associated adintovirus 2,Drosophilidae,12
Drosophila-associated adintovirus 3,Drosophilidae,10
Drosophila-associated anphevirus,Drosophila melanogaster,1
Drosophila-associated filamentous virus,Drosophila melanogaster,69
Drosophila-associated flavivirus 7,Drosophila melanogaster,2
Drosophila-associated nudivirus,Drosophila melanogaster,6
Drosophila-associated picorna-like virus,Drosophila melanogaster,1
Drosophila-associated salivary gland hypertrophy virus,Drosophila melanogaster,18
Drosophila-associated totivirus 2,Drosophila melanogaster,1
Drosophila-associated totivirus 3,Drosophila melanogaster,2
Drosophila-associated totivirus 4,Drosophila melanogaster,1
Drosophila-associated totivirus 5,Drosophila melanogaster,1
Drosophila-associated tymovirus,Drosophila melanogaster,1
Drosophilid anphevirus,Drosophila unispina,10
Dryglaski virus,Pygoscelis adeliae,1
Duamitovirus bevu1,Erysiphe necator,1
Duamitovirus fupo3,Fusarium poae,1
Duamitovirus fupo4,Fusarium poae,1
Duamitovirus nior1,Rhipicephalus microplus,1
Duamitovirus rhce1,Rhizoctonia sp.,2
Dubrovin virus,Pygoscelis antarcticus,1
Duck adeno-associated virus,Anas platyrhynchos,8
Duck adeno-associated virus,Anatidae,2
Duck adeno-associated virus,Cairina moschata,1
Duck adenovirus,Anatidae,5
Duck adenovirus 3,Anatidae,196
Duck adenovirus 3,Cairina moschata,143
Duck adenovirus 3,Tadorna,36
Duck adenovirus 4,Anatidae,43
Duck adenovirus 4,Cairina moschata,21
Duck associated circular virus VC9,Anas platyrhynchos,1
Duck associated cyclovirus 1,Anas platyrhynchos,6
Duck associated cyclovirus 1,Anser erythropus,2
Duck associated cyclovirus 1,Gallus gallus,8
Duck associated cyclovirus 1,Podiceps cristatus,4
Duck astrovirus 3,Anas platyrhynchos,14
Duck astrovirus CPH,Anatidae,3
Duck astrovirus GII.A,Anas platyrhynchos,3
Duck astrovirus GII.A,Anatidae,35
Duck atadenovirus A,Anas platyrhynchos,87
Duck atadenovirus A,Anatidae,48
Duck atadenovirus A,Anser sp.,28
Duck atadenovirus A,Aves,1
Duck atadenovirus A,Cairina moschata,32
Duck atadenovirus A,Coturnix japonica,1
Duck atadenovirus A,Galliformes,13
Duck atadenovirus A,Gallus gallus,58
Duck aviadenovirus,Anas platyrhynchos,25
Duck aviadenovirus B,Anatidae,87
Duck aviadenovirus B,Cairina moschata,533
Duck calicivirus,Anas,2
Duck calicivirus 2,Anas platyrhynchos,3
Duck calicivirus 2,Anas rubripes,7
Duck circovirus,Anas,13
Duck circovirus,Anas platyrhynchos,141
Duck circovirus,Anatidae,214
Duck circovirus,Cairina moschata,63
Duck circovirus,Melanitta fusca,3
Duck circovirus 3,Anatidae,2
Duck coronavirus 2714,Arenaria interpres,1
Duck faeces associated circular DNA virus 1,Anas platyrhynchos,4
Duck faeces associated circular DNA virus 2,Anas platyrhynchos,4
Duck faeces associated circular DNA virus 3,Anas platyrhynchos,4
Duck flavivirus Anhui/2010,Cairina moschata,1
Duck flavivirus strain YY5,Anas platyrhynchos,3
Duck genomovirus VC16,Anas platyrhynchos,1
Duck genomovirus VC17,Anas platyrhynchos,1
Duck hemorrhagic ovaritis virus,Anatidae,2
Duck hepacivirus,Anatidae,4
Duck hepatitis B virus,Aix galericulata,5
Duck hepatitis B virus,Anas,24
Duck hepatitis B virus,Anas platyrhynchos,75
Duck hepatitis B virus,Anas puna,5
Duck hepatitis B virus,Anatidae,51
Duck hepatitis B virus,Anser,1
Duck hepatitis B virus,Anser anser,5
Duck hepatitis B virus,Anser caerulescens,30
Duck hepatitis B virus,Balearica regulorum,6
Duck hepatitis B virus,Chloephaga poliocephala,10
Duck hepatitis B virus,Mareca sibilatrix,5
Duck hepatitis B virus,Neochen jubata,5
Duck hepatitis B virus,Tadorna tadorna,3
Duck hepatitis virus 3,Anatidae,2
Duck infectious anemia virus,Anas platyrhynchos,3
Duck megrivirus,Anas platyrhynchos,1
